id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,images_url,popularity_rank
dp3-1,Ampharos,Rare Holo,Secret Wonders,Diamond & Pearl,14.73,9.99,2007/11/01,[181],Kouki Saitou,https://images.pokemontcg.io/dp3/1_hires.png,#41
ex12-1,Aerodactyl,Rare Holo,Legend Maker,EX,21.21,32.65,2006/02/01,[142],Hajime Kusajima,https://images.pokemontcg.io/ex12/1_hires.png,Not Referenced
ex7-1,Azumarill,Rare Holo,Team Rocket Returns,EX,24.91,15.41,2004/11/01,[184],Sumiyoshi Kizuki,https://images.pokemontcg.io/ex7/1_hires.png,Not Referenced
sm9-1,Celebi & Venusaur-GX,Rare Holo GX,Team Up,Sun & Moon,12.45,,2019/02/01,"[3, 251]",Mitsuhiro Arita,https://images.pokemontcg.io/sm9/1_hires.png,#84
pl1-2,Blastoise,Rare Holo,Platinum,Platinum,20.42,12.34,2009/02/11,[9],Kagemaru Himeno,https://images.pokemontcg.io/pl1/2_hires.png,#106
ex3-2,Altaria,Rare Holo,Dragon,EX,20.35,14.97,2003/11/24,[334],Atsuko Nishida,https://images.pokemontcg.io/ex3/2_hires.png,#105
sm12-1,Venusaur & Snivy-GX,Rare Holo GX,Cosmic Eclipse,Sun & Moon,8.31,,2019/11/01,"[3, 495]",Mitsuhiro Arita,https://images.pokemontcg.io/sm12/1_hires.png,#104
pop7-1,Ampharos,Rare,POP Series 7,POP,9.41,,2008/03/01,[181],Kouki Saitou,https://images.pokemontcg.io/pop7/1_hires.png,#41
base4-3,Chansey,Rare Holo,Base Set 2,Base,11.20,,2000/02/24,[113],Ken Sugimori,https://images.pokemontcg.io/base4/3_hires.png,Not Referenced
ex7-3,Dark Crobat,Rare Holo,Team Rocket Returns,EX,19.06,27.80,2004/11/01,[169],Kyoko Koizumi,https://images.pokemontcg.io/ex7/3_hires.png,#74
dp3-3,Charizard,Rare Holo,Secret Wonders,Diamond & Pearl,127.24,115.00,2007/11/01,[6],Daisuke Ito,https://images.pokemontcg.io/dp3/3_hires.png,#4
base1-1,Alakazam,Rare Holo,Base,Base,53.64,,1999/01/09,[65],Ken Sugimori,https://images.pokemontcg.io/base1/1_hires.png,Not Referenced
ex8-1,Altaria,Rare Holo,Deoxys,EX,23.08,26.97,2005/02/01,[334],Kyoko Umemoto,https://images.pokemontcg.io/ex8/1_hires.png,#105
pop5-1,Ho-Oh,Rare,POP Series 5,POP,15.00,,2007/03/01,[250],Mitsuhiro Arita,https://images.pokemontcg.io/pop5/1_hires.png,#96
base4-1,Alakazam,Rare Holo,Base Set 2,Base,28.27,,2000/02/24,[65],Ken Sugimori,https://images.pokemontcg.io/base4/1_hires.png,Not Referenced
ex11-1,Beedrill δ,Rare Holo,Delta Species,EX,20.92,22.55,2005/10/31,[15],Masakazu Fukuda,https://images.pokemontcg.io/ex11/1_hires.png,Not Referenced
ex14-1,Banette,Rare Holo,Crystal Guardians,EX,4.54,7.37,2006/08/01,[354],Kyoko Umemoto,https://images.pokemontcg.io/ex14/1_hires.png,#182
col1-1,Clefable,Rare Holo,Call of Legends,HeartGold & SoulSilver,2.52,5.50,2011/02/09,[36],sui,,Not Referenced
ex9-1,Blaziken,Rare Holo,Emerald,EX,18.59,75.00,2005/05/01,[257],Midori Harada,https://images.pokemontcg.io/ex9/1_hires.png,#29
ex9-2,Deoxys,Rare Holo,Emerald,EX,21.49,31.48,2005/05/01,[386],Hironobu Yoshida,https://images.pokemontcg.io/ex9/2_hires.png,#179
ex12-3,Cradily,Rare Holo,Legend Maker,EX,5.72,8.99,2006/02/01,[346],Hajime Kusajima,https://images.pokemontcg.io/ex12/3_hires.png,Not Referenced
pl1-1,Ampharos,Rare Holo,Platinum,Platinum,9.66,7.55,2009/02/11,[181],Atsuko Nishida,https://images.pokemontcg.io/pl1/1_hires.png,#41
pl3-1,Absol G,Rare Holo,Supreme Victors,Platinum,6.23,8.76,2009/08/19,[359],Yusuke Ishikawa,https://images.pokemontcg.io/pl3/1_hires.png,#53
pl3-2,Blaziken FB,Rare Holo,Supreme Victors,Platinum,10.07,11.58,2009/08/19,[257],Motofumi Fujiwara,https://images.pokemontcg.io/pl3/2_hires.png,#29
ex11-2,Crobat δ,Rare Holo,Delta Species,EX,6.72,13.97,2005/10/31,[169],Ryo Ueda,https://images.pokemontcg.io/ex11/2_hires.png,#74
base4-2,Blastoise,Rare Holo,Base Set 2,Base,86.22,,2000/02/24,[9],Ken Sugimori,https://images.pokemontcg.io/base4/2_hires.png,#106
ex12-2,Aggron,Rare Holo,Legend Maker,EX,9.37,9.18,2006/02/01,[306],Hisao Nakamura,https://images.pokemontcg.io/ex12/2_hires.png,#52
ex7-2,Dark Ampharos,Rare Holo,Team Rocket Returns,EX,39.60,45.00,2004/11/01,[181],Emi Miwa,https://images.pokemontcg.io/ex7/2_hires.png,#41
ex13-1,Armaldo δ,Rare Holo,Holon Phantoms,EX,8.59,10.01,2006/05/01,[348],Masakazu Fukuda,https://images.pokemontcg.io/ex13/1_hires.png,Not Referenced
pop6-3,Manaphy,Rare,POP Series 6,POP,6.38,,2007/09/01,[490],Atsuko Nishida,https://images.pokemontcg.io/pop6/3_hires.png,Not Referenced
ex11-3,Dragonite δ,Rare Holo,Delta Species,EX,99.12,144.97,2005/10/31,[149],Ryo Ueda,https://images.pokemontcg.io/ex11/3_hires.png,#32
ex13-2,Cradily δ,Rare Holo,Holon Phantoms,EX,7.36,12.43,2006/05/01,[346],Kouki Saitou,https://images.pokemontcg.io/ex13/2_hires.png,Not Referenced
col1-2,Deoxys,Rare Holo,Call of Legends,HeartGold & SoulSilver,9.25,5.59,2011/02/09,[386],Ryo Ueda,https://images.pokemontcg.io/col1/2_hires.png,#179
pl1-3,Blaziken,Rare Holo,Platinum,Platinum,8.46,5.26,2009/02/11,[257],Hajime Kusajima,https://images.pokemontcg.io/pl1/3_hires.png,#29
ex4-1,Team Aqua's Cacturne,Rare Holo,Team Magma vs Team Aqua,EX,8.79,7.18,2004/03/01,[332],K. Utsunomiya,https://images.pokemontcg.io/ex4/1_hires.png,Not Referenced
ex3-1,Absol,Rare Holo,Dragon,EX,41.60,22.89,2003/11/24,[359],Naoyo Kimura,https://images.pokemontcg.io/ex3/1_hires.png,#53
hgss1-1,Arcanine,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,22.54,15.38,2010/02/10,[59],Naoki Saito,https://images.pokemontcg.io/hgss1/1_hires.png,#48
dp3-2,Blastoise,Rare Holo,Secret Wonders,Diamond & Pearl,38.63,19.35,2007/11/01,[9],Daisuke Ito,https://images.pokemontcg.io/dp3/2_hires.png,#106
dp1-1,Dialga,Rare Holo,Diamond & Pearl,Diamond & Pearl,11.33,9.99,2007/05/01,[483],Nakaoka,https://images.pokemontcg.io/dp1/1_hires.png,#125
pop3-1,Blastoise,Rare,POP Series 3,POP,150.00,,2006/04/01,[9],Mitsuhiro Arita,https://images.pokemontcg.io/pop3/1_hires.png,#106
dp4-1,Blaziken,Rare Holo,Great Encounters,Diamond & Pearl,8.41,6.29,2008/02/01,[257],Kagemaru Himeno,https://images.pokemontcg.io/dp4/1_hires.png,#29
dpp-DP01,Turtwig,Promo,DP Black Star Promos,Diamond & Pearl,5.65,,2007/05/01,[387],Masakazu Fukuda,https://images.pokemontcg.io/dpp/DP01_hires.png,#177
base6-1,Alakazam,Rare Holo,Legendary Collection,Other,55.70,128.49,2002/05/24,[65],Ken Sugimori,https://images.pokemontcg.io/base6/1_hires.png,Not Referenced
pop4-2,Deoxys δ,Rare,POP Series 4,POP,29.95,,2006/08/01,[386],Kouki Saitou,https://images.pokemontcg.io/pop4/2_hires.png,#179
ex12-4,Delcatty,Rare Holo,Legend Maker,EX,5.12,7.86,2006/02/01,[301],Naoyo Kimura,https://images.pokemontcg.io/ex12/4_hires.png,Not Referenced
ex3-4,Flygon,Rare Holo,Dragon,EX,32.37,18.00,2003/11/24,[330],Mitsuhiro Arita,https://images.pokemontcg.io/ex3/4_hires.png,#26
ex11-4,Espeon δ,Rare Holo,Delta Species,EX,68.35,85.25,2005/10/31,[196],Ryo Ueda,https://images.pokemontcg.io/ex11/4_hires.png,#46
ex13-3,Deoxys δ,Rare Holo,Holon Phantoms,EX,20.34,48.77,2006/05/01,[386],Mitsuhiro Arita,https://images.pokemontcg.io/ex13/3_hires.png,#179
pop3-3,Jolteon,Rare,POP Series 3,POP,7.07,,2006/04/01,[135],Masakazu Fukuda,https://images.pokemontcg.io/pop3/3_hires.png,#168
base6-3,Charizard,Rare Holo,Legendary Collection,Other,357.42,1199.00,2002/05/24,[6],Mitsuhiro Arita,https://images.pokemontcg.io/base6/3_hires.png,#4
