id,Classement,en,Votes
658.0,#1,Greninja,140 559
448.0,#2,Lucario,102 259
778.0,#3,Mimikyu,99 077
6.0,#4,Charizard,93 968
197.0,#5,Umbreon,67 062
700.0,#6,Sylveon,66 029
445.0,#7,Garchomp,61 877
384.0,#8,Rayquaza,60 939
282.0,#9,Gardevoir,60 596
94.0,#10,Gengar,60 214
887.0,#11,Dragapult,57 973
248.0,#12,Tyranitar,56 834
1.0,#13,Bulbasaur,56 015
849.0,#14,Toxtricity,55 032
249.0,#15,Lugia,53 268
722.0,#16,Rowlet,52 367
681.0,#17,Aegislash,51 517
609.0,#18,Chandelure,50 943
25.0,#19,Pikachu,48 060
133.0,#20,Eevee,47 762
405.0,#21,Luxray,46 032
724.0,#22,Decidueye,44 011
571.0,#23,Zoroark,43 782
745.0,#24,Lycanroc,42 792
823.0,#25,Corviknight,41 711
330.0,#26,Flygon,41 420
635.0,#27,Hydreigon,40 054
254.0,#28,Sceptile,38 724
257.0,#29,Blaziken,38 307
872.0,#30,Snom,38 034
258.0,#31,Mudkip,36 920
149.0,#32,Dragonite,36 873
151.0,#33,Mew,36 266
376.0,#34,Metagross,35 631
157.0,#35,Typhlosion,35 184
715.0,#36,Noivern,34 795
212.0,#37,Scizor,34 691
393.0,#38,Piplup,34 680
150.0,#39,Mewtwo,34 585
392.0,#40,Infernape,33 267
181.0,#41,Ampharos,32 009
807.0,#42,Zeraora,31 691
869.0,#43,Alcremie,30 612
491.0,#44,Darkrai,30 544
706.0,#45,Goodra,30 209
196.0,#46,Espeon,30 052
727.0,#47,Incineroar,29 925
59.0,#48,Arcanine,29 795
385.0,#49,Jirachi,29 611
155.0,#50,Cyndaquil,28 332
350.0,#51,Milotic,28 295
306.0,#52,Aggron,28 120
359.0,#53,Absol,27 781
768.0,#54,Golisopod,26 975
815.0,#55,Cinderace,26 892
260.0,#56,Swampert,26 540
245.0,#57,Suicune,26 277
471.0,#58,Glaceon,26 161
888.0,#59,Zacian,26 158
730.0,#60,Primarina,25 953
835.0,#61,Yamper,25 695
373.0,#62,Salamence,24 920
493.0,#63,Arceus,24 502
304.0,#64,Aron,24 389
637.0,#65,Volcarona,24 389
131.0,#66,Lapras,23 411
612.0,#67,Haxorus,22 937
158.0,#68,Totodile,22 526
,#69,,22 328
497.0,#70,Serperior,22 269
501.0,#71,Oshawott,21 990
395.0,#72,Empoleon,21 773
702.0,#73,Dedenne,21 691
169.0,#74,Crobat,21 548
644.0,#75,Zekrom,21 477
162.0,#76,Furret,21 447
487.0,#77,Giratina,21 366
831.0,#78,Wooloo,21 266
494.0,#79,Victini,20 957
470.0,#80,Leafeon,20 859
717.0,#81,Yveltal,20 852
818.0,#82,Inteleon,20 697
389.0,#83,Torterra,20 632
251.0,#84,Celebi,20 492
704.0,#85,Goomy,20 299
865.0,#86,Sirfetch'd,20 217
643.0,#87,Reshiram,20 123
813.0,#88,Scorbunny,20 058
143.0,#89,Snorlax,19 768
553.0,#90,Krookodile,19 628
38.0,#91,Ninetales,19 044
,#92,,18 778
858.0,#93,Hatterene,18 581
,#94,,18 521
7.0,#95,Squirtle,18 476
250.0,#96,Ho-Oh,18 278
160.0,#97,Feraligatr,18 245
547.0,#98,Whimsicott,17 855
380.0,#99,Latias,17 478
492.0,#100,Shaymin,17 465
716.0,#101,Xerneas,17 415
760.0,#102,Bewear,17 181
816.0,#103,Sobble,17 155
495.0,#104,Snivy,17 020
334.0,#105,Altaria,16 814
9.0,#106,Blastoise,16 795
214.0,#107,Heracross,16 577
791.0,#108,Solgaleo,16 274
808.0,#109,Meltan,16 077
870.0,#110,Falinks,16 009
842.0,#111,Appletun,15 989
890.0,#112,Eternatus,15 699
177.0,#113,Natu,15 699
172.0,#114,Pichu,15 695
382.0,#115,Kyogre,15 585
303.0,#116,Mawile,15 523
570.0,#117,Zorua,14 910
134.0,#118,Vaporeon,14 887
794.0,#119,Buzzwole,14 747
229.0,#120,Houndoom,14 742
701.0,#121,Hawlucha,14 607
545.0,#122,Scoliopede,14 536
771.0,#123,Pyukumuku,14 358
89.0,#124,Muk,14 358
483.0,#125,Dialga,14 292
175.0,#126,Togepi,14 288
475.0,#127,Gallade,14 144
579.0,#128,Reuniclus,14 129
398.0,#129,Staraptor,14 054
4.0,#130,Charmander,14 049
725.0,#131,Litten,14 005
877.0,#132,Morpeko,13 945
648.0,#133,Meloetta,13 915
773.0,#134,Silvally,13 897
132.0,#135,Ditto,13 843
678.0,#136,Meowstic,13 661
653.0,#137,Fennekin,13 508
810.0,#138,Grookey,13 478
468.0,#139,Togekiss,13 426
738.0,#140,Vikavolt,13 375
195.0,#141,Quagsire,13 308
861.0,#142,Grimmsnarl,12 923
758.0,#143,Salazzle,12 863
286.0,#144,Breloom,12 801
784.0,#145,Kommo-o,12 790
472.0,#146,Gliscor,12 676
,#147,,12 641
255.0,#148,Torchic,12 568
381.0,#149,Latios,12 487
79.0,#150,Slowpoke,12 369
809.0,#151,Melmetal,12 356
802.0,#152,Marshadow,12 107
383.0,#153,Groudon,11 982
718.0,#154,Zygarde,11 943
851.0,#155,Centiskorch,11 619
34.0,#156,Nidoking,11 586
503.0,#157,Samurott,11 444
882.0,#158,Dracovish,11 436
428.0,#159,Lopunny,11 411
530.0,#160,Excadrill,11 376
137.0,#161,Porygon,11 311
549.0,#162,Lilligant,11 292
37.0,#163,Vulpix,11 224
54.0,#164,Psyduck,11 212
26.0,#165,Raichu,11 196
127.0,#166,Pinsir,11 162
607.0,#167,Litwick,11 140
135.0,#168,Jolteon,11 064
148.0,#169,Dragonair,11 051
873.0,#170,Frosmoth,10 988
744.0,#171,Rockruff,10 986
625.0,#172,Bisharp,10 975
399.0,#173,Bidoof,10 924
719.0,#174,Diancie,10 918
763.0,#175,Tsareena,10 900
655.0,#176,Delphox,10 889
387.0,#177,Turtwig,10 865
461.0,#178,Weavile,10 854
386.0,#179,Deoxys,10 842
654.0,#180,Braixen,10 807
253.0,#181,Grovyle,10 746
354.0,#182,Banette,10 579
3.0,#183,Venusaur,10 454
144.0,#184,Articuno,10 450
478.0,#185,Froslass,10 408
244.0,#186,Entei,10 404
677.0,#187,Espurr,10 402
875.0,#188,Eiscue,10 392
646.0,#189,Kyurem,10 338
720.0,#190,Hoopa,10 327
699.0,#191,Aurorus,10 321
674.0,#192,Pancham,10 187
156.0,#193,Quilava,10 032
81.0,#194,Magnemite,9 955
233.0,#195,Porygon2,9 902
573.0,#196,Cinccino,9 892
792.0,#197,Lunala,9 887
691.0,#198,Dragalge,9 882
587.0,#199,Emolga,9 798
417.0,#200,Pachirisu,9 694
479.0,#201,Rotom,9 417
252.0,#202,Treecko,9 339
194.0,#203,Wooper,9 323
710.0,#204,Pumpkaboo,9 162
407.0,#205,Roserade,9 092
,#206,,9 019
