start_date,end_date,price,quantity_sold
2023-12-01,2023-12-07,93.65,0
2023-12-12,2023-12-18,93.92,2
2023-12-19,2023-12-25,94.67,0
2023-12-26,2024-01-01,95.25,1
2024-01-02,2024-01-08,95.25,0
2024-01-09,2024-01-15,95.25,0
2024-01-16,2024-01-22,94.52,1
2024-01-23,2024-01-29,94.52,0
2024-01-30,2024-02-05,95.84,0
2024-02-06,2024-02-12,97.23,1
2024-02-13,2024-02-19,96.95,0
2024-02-20,2024-02-26,97.94,0
2024-02-27,2024-03-04,97.56,1
2024-03-05,2024-03-11,97.56,0
2024-03-12,2024-03-18,97.56,0
2024-03-19,2024-03-25,97.56,0
2024-03-26,2024-04-01,97.56,0
2024-04-02,2024-04-08,98.11,1
2024-04-09,2024-04-15,98.5,1
2024-04-16,2024-04-22,98.5,0
2024-04-23,2024-04-29,98.63,1
2024-04-30,2024-05-06,98.74,1
2024-05-07,2024-05-13,98.84,1
2024-05-14,2024-05-20,99.22,0
2024-05-21,2024-05-27,99.38,3
2024-05-28,2024-06-03,99.38,1
2024-06-04,2024-06-10,98.59,1
2024-06-11,2024-06-17,98.48,0
2024-06-18,2024-06-24,97.13,2
2024-06-25,2024-07-01,96.76,0
2024-07-02,2024-07-08,95.54,2
2024-07-09,2024-07-15,95.54,0
2024-07-16,2024-07-22,94.88,1
2024-07-23,2024-07-29,94.88,0
2024-07-30,2024-08-05,95.16,1
2024-08-06,2024-08-12,95.16,0
2024-08-13,2024-08-19,95.38,1
2024-08-20,2024-08-26,95.44,0
2024-08-27,2024-09-02,95.44,0
2024-09-03,2024-09-09,95.44,0
2024-09-10,2024-09-16,95.44,0
2024-09-17,2024-09-23,95.44,0
2024-09-24,2024-09-30,95.44,0
2024-10-01,2024-10-07,95.66,1
2024-10-08,2024-10-14,95.24,0
2024-10-15,2024-10-21,95.24,0
2024-10-22,2024-10-28,94.9,0
2024-10-29,2024-11-04,95.34,2
2024-11-05,2024-11-11,95.0,0
2024-11-12,2024-11-18,95.0,0
2024-11-19,2024-11-25,94.13,0
2024-11-26,2024-12-02,93.65,0
