start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,5.99,5
2023-12-12,2023-12-18,5.81,9
2023-12-19,2023-12-25,5.75,4
2023-12-26,2024-01-01,5.52,14
2024-01-02,2024-01-08,5.63,8
2024-01-09,2024-01-15,5.59,6
2024-01-16,2024-01-22,5.41,9
2024-01-23,2024-01-29,5.47,14
2024-01-30,2024-02-05,5.47,12
2024-02-06,2024-02-12,5.63,9
2024-02-13,2024-02-19,5.52,5
2024-02-20,2024-02-26,5.41,22
2024-02-27,2024-03-04,5.09,5
2024-03-05,2024-03-11,4.92,138
2024-03-12,2024-03-18,4.87,17
2024-03-19,2024-03-25,5.39,14
2024-03-26,2024-04-01,5.74,4
2024-04-02,2024-04-08,6.03,13
2024-04-09,2024-04-15,6.35,4
2024-04-16,2024-04-22,6.26,4
2024-04-23,2024-04-29,6.21,4
2024-04-30,2024-05-06,6.57,25
2024-05-07,2024-05-13,6.68,66
2024-05-14,2024-05-20,7.99,13
2024-05-21,2024-05-27,7.58,7
2024-05-28,2024-06-03,8.03,34
2024-06-04,2024-06-10,8.3,3
2024-06-11,2024-06-17,6.77,7
2024-06-18,2024-06-24,6.81,60
2024-06-25,2024-07-01,7.04,2
2024-07-02,2024-07-08,6.17,9
2024-07-09,2024-07-15,6.15,6
2024-07-16,2024-07-22,6.38,54
2024-07-23,2024-07-29,6.65,6
2024-07-30,2024-08-05,7.34,8
2024-08-06,2024-08-12,7.38,4
2024-08-13,2024-08-19,7.29,9
2024-08-20,2024-08-26,6.87,12
2024-08-27,2024-09-02,6.25,9
2024-09-03,2024-09-09,6.0,8
2024-09-10,2024-09-16,5.76,9
2024-09-17,2024-09-23,5.58,7
2024-09-24,2024-09-30,5.51,6
2024-10-01,2024-10-07,5.36,9
2024-10-08,2024-10-14,5.28,6
2024-10-15,2024-10-21,5.29,7
2024-10-22,2024-10-28,5.97,5
2024-10-29,2024-11-04,6.2,9
2024-11-05,2024-11-11,6.27,20
2024-11-12,2024-11-18,6.32,4
2024-11-19,2024-11-25,5.51,16
2024-11-26,2024-12-02,5.32,12
