start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,31.38,2
2023-12-12,2023-12-18,18.63,1
2023-12-19,2023-12-25,18.65,1
2023-12-26,2024-01-01,18.77,1
2024-01-02,2024-01-08,19.39,3
2024-01-09,2024-01-15,19.07,1
2024-01-16,2024-01-22,19.3,2
2024-01-23,2024-01-29,20.96,6
2024-01-30,2024-02-05,20.64,3
2024-02-06,2024-02-12,20.78,0
2024-02-13,2024-02-19,20.67,2
2024-02-20,2024-02-26,21.22,4
2024-02-27,2024-03-04,21.51,2
2024-03-05,2024-03-11,21.33,3
2024-03-12,2024-03-18,21.33,2
2024-03-19,2024-03-25,21.7,1
2024-03-26,2024-04-01,21.94,4
2024-04-02,2024-04-08,21.94,0
2024-04-09,2024-04-15,22.13,0
2024-04-16,2024-04-22,22.24,2
2024-04-23,2024-04-29,22.13,1
2024-04-30,2024-05-06,23.01,1
2024-05-07,2024-05-13,23.06,1
2024-05-14,2024-05-20,23.22,1
2024-05-21,2024-05-27,23.2,3
2024-05-28,2024-06-03,23.25,1
2024-06-04,2024-06-10,23.35,1
2024-06-11,2024-06-17,23.09,3
2024-06-18,2024-06-24,23.22,1
2024-06-25,2024-07-01,23.22,0
2024-07-02,2024-07-08,23.27,3
2024-07-09,2024-07-15,23.61,2
2024-07-16,2024-07-22,23.95,3
2024-07-23,2024-07-29,24.24,2
2024-07-30,2024-08-05,23.48,2
2024-08-06,2024-08-12,22.44,3
2024-08-13,2024-08-19,22.44,3
2024-08-20,2024-08-26,22.41,1
2024-08-27,2024-09-02,23.08,3
2024-09-03,2024-09-09,24.29,3
2024-09-10,2024-09-16,24.51,2
2024-09-17,2024-09-23,25.26,2
2024-09-24,2024-09-30,25.89,1
2024-10-01,2024-10-07,25.9,1
2024-10-08,2024-10-14,25.69,0
2024-10-15,2024-10-21,26.28,2
2024-10-22,2024-10-28,26.36,3
2024-10-29,2024-11-04,26.36,0
2024-11-05,2024-11-11,27.32,3
2024-11-12,2024-11-18,28.28,2
2024-11-19,2024-11-25,29.41,5
2024-11-26,2024-12-02,31.19,5
