start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,25.35,2
2023-12-08,2023-12-14,25.35,1
2023-12-19,2023-12-25,22.48,6
2023-12-26,2024-01-01,22.17,2
2024-01-02,2024-01-08,21.94,3
2024-01-09,2024-01-15,21.63,3
2024-01-16,2024-01-22,21.71,6
2024-01-23,2024-01-29,21.28,2
2024-01-30,2024-02-05,21.63,4
2024-02-06,2024-02-12,23.38,4
2024-02-13,2024-02-19,23.8,5
2024-02-20,2024-02-26,23.88,1
2024-02-27,2024-03-04,24.03,4
2024-03-05,2024-03-11,23.92,3
2024-03-12,2024-03-18,23.59,2
2024-03-19,2024-03-25,23.43,1
2024-03-26,2024-04-01,23.6,2
2024-04-02,2024-04-08,23.84,2
2024-04-09,2024-04-15,23.18,3
2024-04-16,2024-04-22,23.33,4
2024-04-23,2024-04-29,23.59,5
2024-04-30,2024-05-06,23.39,5
2024-05-07,2024-05-13,23.65,12
2024-05-14,2024-05-20,23.6,2
2024-05-21,2024-05-27,23.85,3
2024-05-28,2024-06-03,23.99,3
2024-06-04,2024-06-10,24.61,4
2024-06-11,2024-06-17,25.22,3
2024-06-18,2024-06-24,25.14,3
2024-06-25,2024-07-01,24.05,4
2024-07-02,2024-07-08,24.33,6
2024-07-09,2024-07-15,24.22,4
2024-07-16,2024-07-22,23.73,3
2024-07-23,2024-07-29,23.76,3
2024-07-30,2024-08-05,23.57,3
2024-08-06,2024-08-12,22.74,5
2024-08-13,2024-08-19,22.9,4
2024-08-20,2024-08-26,23.91,6
2024-08-27,2024-09-02,24.0,8
2024-09-03,2024-09-09,23.82,2
2024-09-10,2024-09-16,24.45,5
2024-09-17,2024-09-23,24.1,5
2024-09-24,2024-09-30,23.9,8
2024-10-01,2024-10-07,23.86,5
2024-10-08,2024-10-14,24.3,6
2024-10-15,2024-10-21,24.88,9
2024-10-22,2024-10-28,24.56,7
2024-10-29,2024-11-04,24.56,0
2024-11-05,2024-11-11,24.56,1
2024-11-12,2024-11-18,24.44,8
2024-11-19,2024-11-25,25.1,7
2024-11-26,2024-12-02,25.23,3
