start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,6.58,122
2023-12-10,2023-12-16,6.14,8
2023-12-12,2023-12-18,6.14,1
2023-12-26,2024-01-01,3.93,94
2024-01-02,2024-01-08,3.6,139
2024-01-09,2024-01-15,3.85,106
2024-01-16,2024-01-22,3.74,65
2024-01-23,2024-01-29,3.29,105
2024-01-30,2024-02-05,3.48,88
2024-02-06,2024-02-12,3.46,90
2024-02-13,2024-02-19,3.27,120
2024-02-20,2024-02-26,3.51,60
2024-02-27,2024-03-04,3.39,115
2024-03-05,2024-03-11,3.08,57
2024-03-12,2024-03-18,4.59,114
2024-03-19,2024-03-25,3.17,61
2024-03-26,2024-04-01,3.31,79
2024-04-02,2024-04-08,3.45,78
2024-04-09,2024-04-15,2.92,73
2024-04-16,2024-04-22,3.22,71
2024-04-23,2024-04-29,2.74,80
2024-04-30,2024-05-06,3.01,84
2024-05-07,2024-05-13,2.99,168
2024-05-14,2024-05-20,3.07,93
2024-05-21,2024-05-27,3.46,111
2024-05-28,2024-06-03,3.36,93
2024-06-04,2024-06-10,3.44,80
2024-06-11,2024-06-17,3.45,90
2024-06-18,2024-06-24,4.16,115
2024-06-25,2024-07-01,3.84,47
2024-07-02,2024-07-08,3.53,59
2024-07-09,2024-07-15,3.56,157
2024-07-16,2024-07-22,3.39,73
2024-07-23,2024-07-29,3.62,50
2024-07-30,2024-08-05,4.16,138
2024-08-06,2024-08-12,4.38,171
2024-08-13,2024-08-19,4.24,92
2024-08-20,2024-08-26,4.29,59
2024-08-27,2024-09-02,4.77,81
2024-09-03,2024-09-09,4.23,59
2024-09-10,2024-09-16,4.28,78
2024-09-17,2024-09-23,4.45,242
2024-09-24,2024-09-30,5.1,92
2024-10-01,2024-10-07,4.49,76
2024-10-08,2024-10-14,4.8,91
2024-10-15,2024-10-21,4.58,108
2024-10-22,2024-10-28,4.8,68
2024-10-29,2024-11-04,4.81,43
2024-11-05,2024-11-11,5.26,91
2024-11-12,2024-11-18,4.87,69
2024-11-19,2024-11-25,6.06,187
2024-11-26,2024-12-02,6.76,59
