start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,8.05,52
2023-12-10,2023-12-16,8.65,8
2023-12-12,2023-12-18,8.65,1
2023-12-26,2024-01-01,5.13,77
2024-01-02,2024-01-08,5.34,131
2024-01-09,2024-01-15,5.65,58
2024-01-16,2024-01-22,5.21,81
2024-01-23,2024-01-29,5.01,88
2024-01-30,2024-02-05,5.73,71
2024-02-06,2024-02-12,5.03,76
2024-02-13,2024-02-19,5.59,67
2024-02-20,2024-02-26,5.62,67
2024-02-27,2024-03-04,5.19,79
2024-03-05,2024-03-11,5.44,68
2024-03-12,2024-03-18,5.4,46
2024-03-19,2024-03-25,5.4,69
2024-03-26,2024-04-01,4.79,66
2024-04-02,2024-04-08,5.55,73
2024-04-09,2024-04-15,4.7,151
2024-04-16,2024-04-22,4.75,49
2024-04-23,2024-04-29,4.09,45
2024-04-30,2024-05-06,4.67,71
2024-05-07,2024-05-13,5.22,191
2024-05-14,2024-05-20,5.42,57
2024-05-21,2024-05-27,5.14,125
2024-05-28,2024-06-03,5.66,198
2024-06-04,2024-06-10,6.13,49
2024-06-11,2024-06-17,5.49,96
2024-06-18,2024-06-24,5.3,44
2024-06-25,2024-07-01,6.08,77
2024-07-02,2024-07-08,5.45,49
2024-07-09,2024-07-15,5.69,51
2024-07-16,2024-07-22,5.61,58
2024-07-23,2024-07-29,5.45,38
2024-07-30,2024-08-05,6.87,104
2024-08-06,2024-08-12,6.79,69
2024-08-13,2024-08-19,6.54,71
2024-08-20,2024-08-26,5.97,44
2024-08-27,2024-09-02,6.11,64
2024-09-03,2024-09-09,6.1,61
2024-09-10,2024-09-16,7.04,84
2024-09-17,2024-09-23,7.7,100
2024-09-24,2024-09-30,7.28,58
2024-10-01,2024-10-07,6.32,65
2024-10-08,2024-10-14,5.79,95
2024-10-15,2024-10-21,6.79,96
2024-10-22,2024-10-28,7.48,102
2024-10-29,2024-11-04,7.15,34
2024-11-05,2024-11-11,7.14,50
2024-11-12,2024-11-18,6.92,100
2024-11-19,2024-11-25,8.05,199
2024-11-26,2024-12-02,7.93,51
