start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,85.35,0
2023-12-12,2023-12-18,85.35,0
2023-12-19,2023-12-25,85.35,0
2023-12-26,2024-01-01,85.85,2
2024-01-02,2024-01-08,85.85,0
2024-01-09,2024-01-15,85.68,1
2024-01-16,2024-01-22,85.68,0
2024-01-23,2024-01-29,85.02,2
2024-01-30,2024-02-05,85.18,1
2024-02-06,2024-02-12,85.66,1
2024-02-13,2024-02-19,85.66,0
2024-02-20,2024-02-26,86.3,1
2024-02-27,2024-03-04,86.91,1
2024-03-05,2024-03-11,87.74,0
2024-03-12,2024-03-18,88.11,3
2024-03-19,2024-03-25,88.41,2
2024-03-26,2024-04-01,89.5,2
2024-04-02,2024-04-08,89.13,5
2024-04-09,2024-04-15,89.04,1
2024-04-16,2024-04-22,88.94,2
2024-04-23,2024-04-29,90.9,2
2024-04-30,2024-05-06,90.7,0
2024-05-07,2024-05-13,92.44,4
2024-05-14,2024-05-20,94.03,1
2024-05-21,2024-05-27,96.23,1
2024-05-28,2024-06-03,108.29,6
2024-06-04,2024-06-10,113.6,4
2024-06-11,2024-06-17,112.45,1
2024-06-18,2024-06-24,113.93,2
2024-06-25,2024-07-01,113.93,0
2024-07-02,2024-07-08,113.93,0
2024-07-09,2024-07-15,114.18,1
2024-07-16,2024-07-22,113.78,2
2024-07-23,2024-07-29,113.62,2
2024-07-30,2024-08-05,115.08,4
2024-08-06,2024-08-12,115.21,1
2024-08-13,2024-08-19,119.02,1
2024-08-20,2024-08-26,118.86,1
2024-08-27,2024-09-02,117.86,1
2024-09-03,2024-09-09,116.67,0
2024-09-10,2024-09-16,113.07,2
2024-09-17,2024-09-23,113.07,0
2024-09-24,2024-09-30,110.67,2
2024-10-01,2024-10-07,110.67,0
2024-10-08,2024-10-14,106.5,2
2024-10-15,2024-10-21,106.97,1
2024-10-22,2024-10-28,106.82,2
2024-10-29,2024-11-04,116.16,0
2024-11-05,2024-11-11,117.32,1
2024-11-12,2024-11-18,107.76,0
2024-11-19,2024-11-25,118.82,2
2024-11-26,2024-12-02,118.82,0
