start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,11.94,0
2023-12-12,2023-12-18,11.94,0
2023-12-19,2023-12-25,11.63,1
2023-12-26,2024-01-01,11.48,1
2024-01-02,2024-01-08,11.48,0
2024-01-09,2024-01-15,11.33,0
2024-01-16,2024-01-22,11.13,1
2024-01-23,2024-01-29,11.13,0
2024-01-30,2024-02-05,11.0,0
2024-02-06,2024-02-12,11.0,0
2024-02-13,2024-02-19,10.95,1
2024-02-20,2024-02-26,10.83,0
2024-02-27,2024-03-04,10.95,0
2024-03-05,2024-03-11,10.95,0
2024-03-12,2024-03-18,11.01,0
2024-03-19,2024-03-25,10.97,0
2024-03-26,2024-04-01,10.87,1
2024-04-02,2024-04-08,10.87,0
2024-04-09,2024-04-15,11.03,0
2024-04-16,2024-04-22,10.87,0
2024-04-23,2024-04-29,10.87,0
2024-04-30,2024-05-06,10.87,1
2024-05-07,2024-05-13,10.87,0
2024-05-14,2024-05-20,10.81,0
2024-05-21,2024-05-27,10.81,0
2024-05-28,2024-06-03,10.95,0
2024-06-04,2024-06-10,10.95,0
2024-06-11,2024-06-17,10.95,0
2024-06-18,2024-06-24,10.95,0
2024-06-25,2024-07-01,11.02,3
2024-07-02,2024-07-08,11.02,0
2024-07-09,2024-07-15,11.02,0
2024-07-16,2024-07-22,11.03,0
2024-07-23,2024-07-29,11.03,0
2024-07-30,2024-08-05,11.03,0
2024-08-06,2024-08-12,11.03,0
2024-08-13,2024-08-19,10.85,0
2024-08-20,2024-08-26,10.85,0
2024-08-27,2024-09-02,10.85,1
2024-09-03,2024-09-09,10.85,0
2024-09-10,2024-09-16,11.02,3
2024-09-17,2024-09-23,11.0,1
2024-09-24,2024-09-30,11.0,0
2024-10-01,2024-10-07,11.0,0
2024-10-08,2024-10-14,11.0,0
2024-10-15,2024-10-21,11.0,0
2024-10-22,2024-10-28,11.0,0
2024-10-29,2024-11-04,11.02,0
2024-11-05,2024-11-11,11.18,1
2024-11-12,2024-11-18,11.28,2
2024-11-19,2024-11-25,11.33,4
2024-11-26,2024-12-02,11.31,1
