start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,3.54,0
2023-12-12,2023-12-18,4.21,1
2023-12-19,2023-12-25,4.25,0
2023-12-26,2024-01-01,4.25,0
2024-01-02,2024-01-08,4.33,1
2024-01-09,2024-01-15,4.06,1
2024-01-16,2024-01-22,4.15,2
2024-01-23,2024-01-29,3.92,1
2024-01-30,2024-02-05,3.77,2
2024-02-06,2024-02-12,3.62,1
2024-02-13,2024-02-19,3.62,0
2024-02-20,2024-02-26,3.62,0
2024-02-27,2024-03-04,3.62,0
2024-03-05,2024-03-11,3.48,1
2024-03-12,2024-03-18,3.24,3
2024-03-19,2024-03-25,3.13,0
2024-03-26,2024-04-01,3.02,0
2024-04-02,2024-04-08,3.02,0
2024-04-09,2024-04-15,3.02,0
2024-04-16,2024-04-22,3.02,0
2024-04-23,2024-04-29,3.02,1
2024-04-30,2024-05-06,2.65,0
2024-05-07,2024-05-13,2.66,5
2024-05-14,2024-05-20,2.79,2
2024-05-21,2024-05-27,2.8,0
2024-05-28,2024-06-03,2.79,1
2024-06-04,2024-06-10,2.9,1
2024-06-11,2024-06-17,2.88,0
2024-06-18,2024-06-24,2.9,2
2024-06-25,2024-07-01,2.9,0
2024-07-02,2024-07-08,2.8,0
2024-07-09,2024-07-15,2.86,0
2024-07-16,2024-07-22,2.74,0
2024-07-23,2024-07-29,2.82,0
2024-07-30,2024-08-05,2.81,0
2024-08-06,2024-08-12,2.91,0
2024-08-13,2024-08-19,3.05,1
2024-08-20,2024-08-26,3.05,0
2024-08-27,2024-09-02,3.16,0
2024-09-03,2024-09-09,3.16,0
2024-09-10,2024-09-16,3.57,2
2024-09-17,2024-09-23,3.57,0
2024-09-24,2024-09-30,3.53,1
2024-10-01,2024-10-07,3.53,0
2024-10-08,2024-10-14,3.48,1
2024-10-15,2024-10-21,3.48,0
2024-10-22,2024-10-28,3.51,0
2024-10-29,2024-11-04,3.51,0
2024-11-05,2024-11-11,3.73,0
2024-11-12,2024-11-18,3.7,0
2024-11-19,2024-11-25,3.43,1
2024-11-26,2024-12-02,3.54,0
