start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.78,0
2023-12-19,2023-12-25,6.27,0
2023-12-26,2024-01-01,6.28,0
2024-01-02,2024-01-08,6.28,0
2024-01-09,2024-01-15,6.28,0
2024-01-16,2024-01-22,6.03,1
2024-01-23,2024-01-29,6.02,1
2024-01-30,2024-02-05,6.02,0
2024-02-06,2024-02-12,6.08,1
2024-02-13,2024-02-19,6.06,0
2024-02-20,2024-02-26,6.06,0
2024-02-27,2024-03-04,6.06,0
2024-03-05,2024-03-11,6.06,0
2024-03-12,2024-03-18,6.05,1
2024-03-19,2024-03-25,6.05,0
2024-03-26,2024-04-01,6.05,0
2024-04-02,2024-04-08,6.05,1
2024-04-09,2024-04-15,6.04,1
2024-04-16,2024-04-22,6.02,0
2024-04-23,2024-04-29,6.02,1
2024-04-30,2024-05-06,6.02,0
2024-05-07,2024-05-13,6.02,0
2024-05-14,2024-05-20,6.08,0
2024-05-21,2024-05-27,6.08,0
2024-05-28,2024-06-03,6.08,1
2024-06-04,2024-06-10,6.09,1
2024-06-11,2024-06-17,6.09,1
2024-06-18,2024-06-24,6.09,0
2024-06-25,2024-07-01,6.09,0
2024-07-02,2024-07-08,5.98,1
2024-07-09,2024-07-15,5.98,0
2024-07-16,2024-07-22,6.06,0
2024-07-23,2024-07-29,6.15,2
2024-07-30,2024-08-05,6.07,1
2024-08-06,2024-08-12,6.03,0
2024-08-13,2024-08-19,6.03,0
2024-08-20,2024-08-26,6.03,0
2024-08-27,2024-09-02,5.94,2
2024-09-03,2024-09-09,5.94,0
2024-09-10,2024-09-16,5.93,0
2024-09-17,2024-09-23,5.93,0
2024-09-24,2024-09-30,5.85,1
2024-10-01,2024-10-07,5.86,1
2024-10-08,2024-10-14,5.85,0
2024-10-15,2024-10-21,5.83,1
2024-10-22,2024-10-28,5.83,0
2024-10-29,2024-11-04,5.83,0
2024-11-05,2024-11-11,5.87,1
2024-11-12,2024-11-18,5.87,0
2024-11-19,2024-11-25,5.73,2
2024-11-26,2024-12-02,5.8,1
