start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,25.31,0
2023-12-12,2023-12-18,39.9,0
2023-12-19,2023-12-25,39.9,0
2023-12-26,2024-01-01,39.9,0
2024-01-02,2024-01-08,33.93,1
2024-01-09,2024-01-15,33.93,0
2024-01-16,2024-01-22,27.62,2
2024-01-23,2024-01-29,27.62,0
2024-01-30,2024-02-05,26.97,1
2024-02-06,2024-02-12,26.97,4
2024-02-13,2024-02-19,26.97,0
2024-02-20,2024-02-26,26.97,0
2024-02-27,2024-03-04,27.57,2
2024-03-05,2024-03-11,27.57,0
2024-03-12,2024-03-18,27.57,0
2024-03-19,2024-03-25,27.57,0
2024-03-26,2024-04-01,27.57,0
2024-04-02,2024-04-08,27.57,0
2024-04-09,2024-04-15,27.57,0
2024-04-16,2024-04-22,27.5,2
2024-04-23,2024-04-29,27.5,0
2024-04-30,2024-05-06,27.5,0
2024-05-07,2024-05-13,27.5,0
2024-05-14,2024-05-20,27.5,0
2024-05-21,2024-05-27,27.5,0
2024-05-28,2024-06-03,27.5,0
2024-06-04,2024-06-10,27.5,0
2024-06-11,2024-06-17,27.5,0
2024-06-18,2024-06-24,27.5,0
2024-06-25,2024-07-01,27.18,6
2024-07-02,2024-07-08,27.11,0
2024-07-09,2024-07-15,26.33,3
2024-07-16,2024-07-22,26.33,0
2024-07-23,2024-07-29,26.33,0
2024-07-30,2024-08-05,26.45,0
2024-08-06,2024-08-12,26.34,0
2024-08-13,2024-08-19,26.34,0
2024-08-20,2024-08-26,26.11,1
2024-08-27,2024-09-02,25.29,0
2024-09-03,2024-09-09,25.76,2
2024-09-10,2024-09-16,25.76,0
2024-09-17,2024-09-23,25.96,2
2024-09-24,2024-09-30,25.96,0
2024-10-01,2024-10-07,25.96,0
2024-10-08,2024-10-14,25.7,0
2024-10-15,2024-10-21,25.44,3
2024-10-22,2024-10-28,25.44,0
2024-10-29,2024-11-04,25.19,6
2024-11-05,2024-11-11,25.19,0
2024-11-12,2024-11-18,25.19,0
2024-11-19,2024-11-25,25.19,0
2024-11-26,2024-12-02,25.31,1
