start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,13.25,11
2023-12-12,2023-12-18,13.25,0
2023-12-19,2023-12-25,12.56,5
2023-12-26,2024-01-01,12.4,0
2024-01-02,2024-01-08,12.26,7
2024-01-09,2024-01-15,12.21,3
2024-01-16,2024-01-22,12.8,3
2024-01-23,2024-01-29,13.26,2
2024-01-30,2024-02-05,13.41,1
2024-02-06,2024-02-12,13.94,3
2024-02-13,2024-02-19,13.99,3
2024-02-20,2024-02-26,14.28,3
2024-02-27,2024-03-04,14.63,2
2024-03-05,2024-03-11,14.68,2
2024-03-12,2024-03-18,14.9,1
2024-03-19,2024-03-25,14.63,1
2024-03-26,2024-04-01,14.99,3
2024-04-02,2024-04-08,15.35,3
2024-04-09,2024-04-15,15.13,4
2024-04-16,2024-04-22,14.93,2
2024-04-23,2024-04-29,15.55,4
2024-04-30,2024-05-06,15.65,2
2024-05-07,2024-05-13,15.37,3
2024-05-14,2024-05-20,15.37,1
2024-05-21,2024-05-27,15.41,1
2024-05-28,2024-06-03,15.17,3
2024-06-04,2024-06-10,14.97,1
2024-06-11,2024-06-17,14.77,1
2024-06-18,2024-06-24,14.22,4
2024-06-25,2024-07-01,14.17,1
2024-07-02,2024-07-08,14.39,3
2024-07-09,2024-07-15,14.39,0
2024-07-16,2024-07-22,14.52,2
2024-07-23,2024-07-29,14.02,4
2024-07-30,2024-08-05,14.21,0
2024-08-06,2024-08-12,14.16,3
2024-08-13,2024-08-19,14.1,4
2024-08-20,2024-08-26,14.13,1
2024-08-27,2024-09-02,14.09,1
2024-09-03,2024-09-09,14.09,0
2024-09-10,2024-09-16,14.17,4
2024-09-17,2024-09-23,14.3,2
2024-09-24,2024-09-30,14.49,2
2024-10-01,2024-10-07,14.24,1
2024-10-08,2024-10-14,14.13,2
2024-10-15,2024-10-21,14.17,2
2024-10-22,2024-10-28,14.2,1
2024-10-29,2024-11-04,14.66,2
2024-11-05,2024-11-11,14.89,4
2024-11-12,2024-11-18,15.0,2
2024-11-19,2024-11-25,15.18,5
2024-11-26,2024-12-02,16.16,5
