start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,59.69,1
2023-12-12,2023-12-18,32.9,6
2023-12-19,2023-12-25,31.96,7
2023-12-26,2024-01-01,32.81,7
2024-01-02,2024-01-08,32.8,8
2024-01-09,2024-01-15,33.89,7
2024-01-16,2024-01-22,34.72,7
2024-01-23,2024-01-29,34.83,2
2024-01-30,2024-02-05,35.06,4
2024-02-06,2024-02-12,36.96,4
2024-02-13,2024-02-19,37.07,3
2024-02-20,2024-02-26,37.22,5
2024-02-27,2024-03-04,37.62,3
2024-03-05,2024-03-11,38.93,4
2024-03-12,2024-03-18,40.13,3
2024-03-19,2024-03-25,40.96,4
2024-03-26,2024-04-01,41.27,5
2024-04-02,2024-04-08,40.5,5
2024-04-09,2024-04-15,41.07,5
2024-04-16,2024-04-22,40.16,5
2024-04-23,2024-04-29,40.57,5
2024-04-30,2024-05-06,39.95,2
2024-05-07,2024-05-13,40.73,6
2024-05-14,2024-05-20,40.84,1
2024-05-21,2024-05-27,41.52,2
2024-05-28,2024-06-03,39.87,4
2024-06-04,2024-06-10,37.98,7
2024-06-11,2024-06-17,38.03,5
2024-06-18,2024-06-24,38.46,8
2024-06-25,2024-07-01,39.19,10
2024-07-02,2024-07-08,39.89,6
2024-07-09,2024-07-15,41.64,9
2024-07-16,2024-07-22,44.18,8
2024-07-23,2024-07-29,44.42,2
2024-07-30,2024-08-05,46.36,7
2024-08-06,2024-08-12,45.83,4
2024-08-13,2024-08-19,45.79,1
2024-08-20,2024-08-26,45.73,10
2024-08-27,2024-09-02,46.42,6
2024-09-03,2024-09-09,46.92,14
2024-09-10,2024-09-16,46.45,2
2024-09-17,2024-09-23,44.02,5
2024-09-24,2024-09-30,43.94,4
2024-10-01,2024-10-07,43.97,1
2024-10-08,2024-10-14,42.34,6
2024-10-15,2024-10-21,42.23,6
2024-10-22,2024-10-28,41.88,3
2024-10-29,2024-11-04,45.24,11
2024-11-05,2024-11-11,45.71,2
2024-11-12,2024-11-18,52.41,4
2024-11-19,2024-11-25,56.29,12
2024-11-26,2024-12-02,59.46,7
