start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,8.53,0
2023-12-12,2023-12-18,12.84,1
2023-12-19,2023-12-25,12.84,0
2023-12-26,2024-01-01,12.92,1
2024-01-02,2024-01-08,13.0,0
2024-01-09,2024-01-15,13.23,1
2024-01-16,2024-01-22,13.64,0
2024-01-23,2024-01-29,13.81,0
2024-01-30,2024-02-05,13.9,0
2024-02-06,2024-02-12,13.92,0
2024-02-13,2024-02-19,13.91,0
2024-02-20,2024-02-26,13.14,1
2024-02-27,2024-03-04,12.32,1
2024-03-05,2024-03-11,12.32,0
2024-03-12,2024-03-18,11.99,1
2024-03-19,2024-03-25,11.99,0
2024-03-26,2024-04-01,11.99,1
2024-04-02,2024-04-08,11.99,0
2024-04-09,2024-04-15,11.99,0
2024-04-16,2024-04-22,12.08,1
2024-04-23,2024-04-29,12.09,0
2024-04-30,2024-05-06,11.95,0
2024-05-07,2024-05-13,11.95,0
2024-05-14,2024-05-20,11.95,0
2024-05-21,2024-05-27,11.75,0
2024-05-28,2024-06-03,11.75,0
2024-06-04,2024-06-10,11.75,0
2024-06-11,2024-06-17,11.55,1
2024-06-18,2024-06-24,10.82,1
2024-06-25,2024-07-01,10.42,0
2024-07-02,2024-07-08,10.42,0
2024-07-09,2024-07-15,10.3,1
2024-07-16,2024-07-22,10.3,0
2024-07-23,2024-07-29,10.3,0
2024-07-30,2024-08-05,10.34,0
2024-08-06,2024-08-12,10.31,1
2024-08-13,2024-08-19,10.49,0
2024-08-20,2024-08-26,10.49,0
2024-08-27,2024-09-02,10.01,2
2024-09-03,2024-09-09,10.01,0
2024-09-10,2024-09-16,10.05,0
2024-09-17,2024-09-23,9.35,1
2024-09-24,2024-09-30,9.31,0
2024-10-01,2024-10-07,9.05,1
2024-10-08,2024-10-14,9.14,1
2024-10-15,2024-10-21,8.35,0
2024-10-22,2024-10-28,8.13,1
2024-10-29,2024-11-04,8.0,1
2024-11-05,2024-11-11,8.09,1
2024-11-12,2024-11-18,8.46,2
2024-11-19,2024-11-25,8.53,1
2024-11-26,2024-12-02,8.53,0
