start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,6.36,0
2023-12-12,2023-12-18,6.36,0
2023-12-19,2023-12-25,6.93,0
2023-12-26,2024-01-01,7.44,0
2024-01-02,2024-01-08,8.98,0
2024-01-09,2024-01-15,8.98,0
2024-01-16,2024-01-22,10.12,1
2024-01-23,2024-01-29,10.12,0
2024-01-30,2024-02-05,10.38,1
2024-02-06,2024-02-12,10.38,0
2024-02-13,2024-02-19,10.38,0
2024-02-20,2024-02-26,10.38,0
2024-02-27,2024-03-04,10.38,0
2024-03-05,2024-03-11,10.38,0
2024-03-12,2024-03-18,10.38,0
2024-03-19,2024-03-25,9.78,1
2024-03-26,2024-04-01,9.78,0
2024-04-02,2024-04-08,9.78,0
2024-04-09,2024-04-15,9.78,0
2024-04-16,2024-04-22,9.78,0
2024-04-23,2024-04-29,9.78,0
2024-04-30,2024-05-06,8.57,1
2024-05-07,2024-05-13,7.2,3
2024-05-14,2024-05-20,7.2,0
2024-05-21,2024-05-27,6.71,1
2024-05-28,2024-06-03,6.52,1
2024-06-04,2024-06-10,6.68,1
2024-06-11,2024-06-17,6.53,1
2024-06-18,2024-06-24,6.53,0
2024-06-25,2024-07-01,6.3,2
2024-07-02,2024-07-08,6.2,1
2024-07-09,2024-07-15,6.54,2
2024-07-16,2024-07-22,6.23,0
2024-07-23,2024-07-29,6.23,0
2024-07-30,2024-08-05,5.84,1
2024-08-06,2024-08-12,5.78,1
2024-08-13,2024-08-19,5.78,0
2024-08-20,2024-08-26,5.78,0
2024-08-27,2024-09-02,5.68,1
2024-09-03,2024-09-09,5.68,0
2024-09-10,2024-09-16,5.58,1
2024-09-17,2024-09-23,5.45,0
2024-09-24,2024-09-30,5.45,0
2024-10-01,2024-10-07,5.45,0
2024-10-08,2024-10-14,5.45,0
2024-10-15,2024-10-21,5.45,0
2024-10-22,2024-10-28,5.45,0
2024-10-29,2024-11-04,5.55,0
2024-11-05,2024-11-11,5.7,0
2024-11-12,2024-11-18,5.7,0
2024-11-19,2024-11-25,6.55,1
2024-11-26,2024-12-02,6.1,0
