start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,7.4,19
2023-12-10,2023-12-16,7.1,5
2023-12-19,2023-12-25,3.38,22
2023-12-26,2024-01-01,2.97,26
2024-01-02,2024-01-08,2.88,41
2024-01-09,2024-01-15,3.02,36
2024-01-16,2024-01-22,3.33,37
2024-01-23,2024-01-29,3.27,21
2024-01-30,2024-02-05,3.27,31
2024-02-06,2024-02-12,3.16,21
2024-02-13,2024-02-19,3.38,23
2024-02-20,2024-02-26,3.69,22
2024-02-27,2024-03-04,3.23,33
2024-03-05,2024-03-11,3.64,19
2024-03-12,2024-03-18,3.82,31
2024-03-19,2024-03-25,4.14,24
2024-03-26,2024-04-01,3.86,32
2024-04-02,2024-04-08,3.83,22
2024-04-09,2024-04-15,3.47,22
2024-04-16,2024-04-22,3.58,23
2024-04-23,2024-04-29,3.34,21
2024-04-30,2024-05-06,3.53,24
2024-05-07,2024-05-13,3.51,53
2024-05-14,2024-05-20,3.88,22
2024-05-21,2024-05-27,4.23,39
2024-05-28,2024-06-03,4.28,31
2024-06-04,2024-06-10,4.48,29
2024-06-11,2024-06-17,3.94,23
2024-06-18,2024-06-24,4.19,19
2024-06-25,2024-07-01,4.14,20
2024-07-02,2024-07-08,3.83,17
2024-07-09,2024-07-15,4.34,22
2024-07-16,2024-07-22,4.23,22
2024-07-23,2024-07-29,4.08,20
2024-07-30,2024-08-05,4.36,38
2024-08-06,2024-08-12,4.22,15
2024-08-13,2024-08-19,4.29,27
2024-08-20,2024-08-26,4.59,20
2024-08-27,2024-09-02,4.7,22
2024-09-03,2024-09-09,4.69,24
2024-09-10,2024-09-16,4.3,21
2024-09-17,2024-09-23,4.59,36
2024-09-24,2024-09-30,4.34,23
2024-10-01,2024-10-07,4.23,31
2024-10-08,2024-10-14,4.72,32
2024-10-15,2024-10-21,4.53,23
2024-10-22,2024-10-28,5.08,24
2024-10-29,2024-11-04,4.77,23
2024-11-05,2024-11-11,4.58,17
2024-11-12,2024-11-18,4.84,29
2024-11-19,2024-11-25,5.54,53
2024-11-26,2024-12-02,7.37,58
