start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,12.31,1
2023-12-12,2023-12-18,13.7,0
2023-12-19,2023-12-25,13.7,0
2023-12-26,2024-01-01,13.8,0
2024-01-02,2024-01-08,13.85,2
2024-01-09,2024-01-15,13.88,1
2024-01-16,2024-01-22,13.98,1
2024-01-23,2024-01-29,13.88,1
2024-01-30,2024-02-05,13.88,0
2024-02-06,2024-02-12,13.86,1
2024-02-13,2024-02-19,14.02,1
2024-02-20,2024-02-26,14.02,1
2024-02-27,2024-03-04,13.92,1
2024-03-05,2024-03-11,13.81,1
2024-03-12,2024-03-18,13.81,0
2024-03-19,2024-03-25,13.81,0
2024-03-26,2024-04-01,13.77,2
2024-04-02,2024-04-08,13.61,1
2024-04-09,2024-04-15,13.61,0
2024-04-16,2024-04-22,13.55,1
2024-04-23,2024-04-29,13.56,1
2024-04-30,2024-05-06,13.56,2
2024-05-07,2024-05-13,13.63,1
2024-05-14,2024-05-20,13.6,0
2024-05-21,2024-05-27,13.69,0
2024-05-28,2024-06-03,13.56,1
2024-06-04,2024-06-10,13.4,1
2024-06-11,2024-06-17,13.26,1
2024-06-18,2024-06-24,13.26,0
2024-06-25,2024-07-01,13.16,0
2024-07-02,2024-07-08,13.1,2
2024-07-09,2024-07-15,13.06,0
2024-07-16,2024-07-22,12.98,0
2024-07-23,2024-07-29,12.95,1
2024-07-30,2024-08-05,12.95,0
2024-08-06,2024-08-12,12.83,0
2024-08-13,2024-08-19,12.83,0
2024-08-20,2024-08-26,12.83,0
2024-08-27,2024-09-02,12.83,1
2024-09-03,2024-09-09,12.89,1
2024-09-10,2024-09-16,12.78,1
2024-09-17,2024-09-23,12.78,1
2024-09-24,2024-09-30,12.76,0
2024-10-01,2024-10-07,12.76,0
2024-10-08,2024-10-14,12.76,0
2024-10-15,2024-10-21,12.81,0
2024-10-22,2024-10-28,12.71,2
2024-10-29,2024-11-04,12.66,0
2024-11-05,2024-11-11,12.36,1
2024-11-12,2024-11-18,12.32,1
2024-11-19,2024-11-25,12.26,4
2024-11-26,2024-12-02,12.25,3
