start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,60.62,1
2023-12-10,2023-12-16,60.83,1
2023-12-11,2023-12-17,60.83,1
2023-12-26,2024-01-01,56.6,1
2024-01-02,2024-01-08,56.6,0
2024-01-09,2024-01-15,56.6,0
2024-01-16,2024-01-22,56.6,0
2024-01-23,2024-01-29,56.75,2
2024-01-30,2024-02-05,57.91,3
2024-02-06,2024-02-12,57.79,1
2024-02-13,2024-02-19,57.79,0
2024-02-20,2024-02-26,57.71,1
2024-02-27,2024-03-04,57.71,0
2024-03-05,2024-03-11,58.76,2
2024-03-12,2024-03-18,58.34,2
2024-03-19,2024-03-25,58.34,1
2024-03-26,2024-04-01,58.67,2
2024-04-02,2024-04-08,59.31,3
2024-04-09,2024-04-15,59.32,1
2024-04-16,2024-04-22,59.11,4
2024-04-23,2024-04-29,59.11,2
2024-04-30,2024-05-06,59.11,0
2024-05-07,2024-05-13,59.82,3
2024-05-14,2024-05-20,59.82,0
2024-05-21,2024-05-27,60.02,1
2024-05-28,2024-06-03,60.02,0
2024-06-04,2024-06-10,59.05,2
2024-06-11,2024-06-17,59.05,0
2024-06-18,2024-06-24,59.21,1
2024-06-25,2024-07-01,58.34,2
2024-07-02,2024-07-08,58.34,0
2024-07-09,2024-07-15,59.06,2
2024-07-16,2024-07-22,59.06,0
2024-07-23,2024-07-29,59.06,0
2024-07-30,2024-08-05,59.37,3
2024-08-06,2024-08-12,59.37,0
2024-08-13,2024-08-19,59.37,0
2024-08-20,2024-08-26,59.86,3
2024-08-27,2024-09-02,60.11,3
2024-09-03,2024-09-09,59.89,1
2024-09-10,2024-09-16,59.81,1
2024-09-17,2024-09-23,60.21,1
2024-09-24,2024-09-30,60.21,0
2024-10-01,2024-10-07,60.21,0
2024-10-08,2024-10-14,60.45,2
2024-10-15,2024-10-21,60.18,2
2024-10-22,2024-10-28,59.78,1
2024-10-29,2024-11-04,59.99,1
2024-11-05,2024-11-11,59.74,2
2024-11-12,2024-11-18,60.09,2
2024-11-19,2024-11-25,59.9,3
2024-11-26,2024-12-02,60.7,4
