start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,9.95,0
2023-12-12,2023-12-18,3.69,0
2023-12-19,2023-12-25,3.71,1
2023-12-26,2024-01-01,3.71,0
2024-01-02,2024-01-08,3.68,2
2024-01-09,2024-01-15,3.68,3
2024-01-16,2024-01-22,3.71,0
2024-01-23,2024-01-29,3.9,0
2024-01-30,2024-02-05,3.91,3
2024-02-06,2024-02-12,3.98,3
2024-02-13,2024-02-19,4.04,7
2024-02-20,2024-02-26,4.22,3
2024-02-27,2024-03-04,4.2,0
2024-03-05,2024-03-11,4.19,1
2024-03-12,2024-03-18,4.19,0
2024-03-19,2024-03-25,4.33,2
2024-03-26,2024-04-01,4.53,2
2024-04-02,2024-04-08,4.89,3
2024-04-09,2024-04-15,4.94,0
2024-04-16,2024-04-22,4.94,0
2024-04-23,2024-04-29,5.03,1
2024-04-30,2024-05-06,5.17,2
2024-05-07,2024-05-13,5.17,0
2024-05-14,2024-05-20,5.17,0
2024-05-21,2024-05-27,5.17,0
2024-05-28,2024-06-03,5.34,2
2024-06-04,2024-06-10,5.67,5
2024-06-11,2024-06-17,5.68,2
2024-06-18,2024-06-24,5.68,0
2024-06-25,2024-07-01,5.68,0
2024-07-02,2024-07-08,5.68,0
2024-07-09,2024-07-15,5.92,3
2024-07-16,2024-07-22,5.97,2
2024-07-23,2024-07-29,5.97,0
2024-07-30,2024-08-05,6.35,1
2024-08-06,2024-08-12,7.08,2
2024-08-13,2024-08-19,7.87,2
2024-08-20,2024-08-26,8.12,1
2024-08-27,2024-09-02,8.52,2
2024-09-03,2024-09-09,8.81,1
2024-09-10,2024-09-16,9.04,2
2024-09-17,2024-09-23,9.04,0
2024-09-24,2024-09-30,9.04,0
2024-10-01,2024-10-07,9.21,1
2024-10-08,2024-10-14,9.21,0
2024-10-15,2024-10-21,9.37,1
2024-10-22,2024-10-28,9.51,1
2024-10-29,2024-11-04,9.51,0
2024-11-05,2024-11-11,9.51,0
2024-11-12,2024-11-18,9.51,0
2024-11-19,2024-11-25,9.79,2
2024-11-26,2024-12-02,9.79,0
