start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,30.45,0
2023-12-12,2023-12-18,23.46,2
2023-12-19,2023-12-25,22.11,3
2023-12-26,2024-01-01,22.42,6
2024-01-02,2024-01-08,21.29,7
2024-01-09,2024-01-15,20.38,5
2024-01-16,2024-01-22,20.44,2
2024-01-23,2024-01-29,20.68,3
2024-01-30,2024-02-05,20.23,7
2024-02-06,2024-02-12,20.04,2
2024-02-13,2024-02-19,20.5,4
2024-02-20,2024-02-26,20.5,0
2024-02-27,2024-03-04,20.67,8
2024-03-05,2024-03-11,19.93,5
2024-03-12,2024-03-18,20.03,3
2024-03-19,2024-03-25,19.83,6
2024-03-26,2024-04-01,20.21,4
2024-04-02,2024-04-08,20.55,4
2024-04-09,2024-04-15,20.58,3
2024-04-16,2024-04-22,21.16,5
2024-04-23,2024-04-29,21.23,3
2024-04-30,2024-05-06,21.82,3
2024-05-07,2024-05-13,24.23,15
2024-05-14,2024-05-20,25.24,8
2024-05-21,2024-05-27,25.92,6
2024-05-28,2024-06-03,27.79,12
2024-06-04,2024-06-10,29.14,4
2024-06-11,2024-06-17,29.24,4
2024-06-18,2024-06-24,29.24,0
2024-06-25,2024-07-01,29.07,4
2024-07-02,2024-07-08,29.49,2
2024-07-09,2024-07-15,29.16,4
2024-07-16,2024-07-22,28.45,4
2024-07-23,2024-07-29,29.29,5
2024-07-30,2024-08-05,28.74,3
2024-08-06,2024-08-12,28.65,1
2024-08-13,2024-08-19,28.69,1
2024-08-20,2024-08-26,29.21,5
2024-08-27,2024-09-02,29.23,7
2024-09-03,2024-09-09,28.3,4
2024-09-10,2024-09-16,28.03,5
2024-09-17,2024-09-23,27.99,1
2024-09-24,2024-09-30,27.86,4
2024-10-01,2024-10-07,27.92,7
2024-10-08,2024-10-14,28.15,2
2024-10-15,2024-10-21,28.04,1
2024-10-22,2024-10-28,28.46,5
2024-10-29,2024-11-04,28.63,2
2024-11-05,2024-11-11,28.66,1
2024-11-12,2024-11-18,28.89,4
2024-11-19,2024-11-25,28.92,6
2024-11-26,2024-12-02,30.45,14
