start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.83,0
2023-12-12,2023-12-18,5.69,1
2023-12-19,2023-12-25,5.72,0
2023-12-26,2024-01-01,5.66,1
2024-01-02,2024-01-08,5.61,0
2024-01-09,2024-01-15,5.61,0
2024-01-16,2024-01-22,5.61,0
2024-01-23,2024-01-29,5.56,1
2024-01-30,2024-02-05,5.56,0
2024-02-06,2024-02-12,5.58,1
2024-02-13,2024-02-19,5.6,2
2024-02-20,2024-02-26,5.6,0
2024-02-27,2024-03-04,5.56,0
2024-03-05,2024-03-11,5.56,0
2024-03-12,2024-03-18,5.63,1
2024-03-19,2024-03-25,5.57,3
2024-03-26,2024-04-01,5.57,0
2024-04-02,2024-04-08,5.57,0
2024-04-09,2024-04-15,5.63,11
2024-04-16,2024-04-22,5.58,0
2024-04-23,2024-04-29,5.58,0
2024-04-30,2024-05-06,5.58,0
2024-05-07,2024-05-13,5.58,3
2024-05-14,2024-05-20,5.6,0
2024-05-21,2024-05-27,5.6,0
2024-05-28,2024-06-03,5.64,1
2024-06-04,2024-06-10,5.64,0
2024-06-11,2024-06-17,5.67,0
2024-06-18,2024-06-24,5.67,0
2024-06-25,2024-07-01,5.69,2
2024-07-02,2024-07-08,5.69,0
2024-07-09,2024-07-15,0.0,0
2024-07-16,2024-07-22,5.69,0
2024-07-23,2024-07-29,5.74,0
2024-07-30,2024-08-05,5.75,1
2024-08-06,2024-08-12,5.61,1
2024-08-13,2024-08-19,5.69,2
2024-08-20,2024-08-26,5.73,2
2024-08-27,2024-09-02,5.72,1
2024-09-03,2024-09-09,5.67,1
2024-09-10,2024-09-16,5.67,0
2024-09-17,2024-09-23,5.76,0
2024-09-24,2024-09-30,5.76,0
2024-10-01,2024-10-07,5.92,1
2024-10-08,2024-10-14,5.86,1
2024-10-15,2024-10-21,5.86,0
2024-10-22,2024-10-28,5.86,0
2024-10-29,2024-11-04,5.86,0
2024-11-05,2024-11-11,5.93,1
2024-11-12,2024-11-18,5.94,1
2024-11-19,2024-11-25,5.8,1
2024-11-26,2024-12-02,5.83,3
