start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,9.61,0
2023-12-10,2023-12-16,9.61,0
2023-12-12,2023-12-18,11.85,4
2023-12-26,2024-01-01,13.52,105
2024-01-02,2024-01-08,13.13,93
2024-01-09,2024-01-15,13.26,88
2024-01-16,2024-01-22,12.2,92
2024-01-23,2024-01-29,11.83,79
2024-01-30,2024-02-05,13.51,92
2024-02-06,2024-02-12,14.46,59
2024-02-13,2024-02-19,13.49,74
2024-02-20,2024-02-26,13.62,76
2024-02-27,2024-03-04,13.71,73
2024-03-05,2024-03-11,14.25,67
2024-03-12,2024-03-18,12.16,63
2024-03-19,2024-03-25,13.47,66
2024-03-26,2024-04-01,12.94,67
2024-04-02,2024-04-08,11.44,77
2024-04-09,2024-04-15,12.14,71
2024-04-16,2024-04-22,10.0,59
2024-04-23,2024-04-29,9.92,76
2024-04-30,2024-05-06,10.17,48
2024-05-07,2024-05-13,10.05,89
2024-05-14,2024-05-20,10.2,57
2024-05-21,2024-05-27,10.1,54
2024-05-28,2024-06-03,10.77,67
2024-06-04,2024-06-10,9.17,70
2024-06-11,2024-06-17,9.08,67
2024-06-18,2024-06-24,9.43,54
2024-06-25,2024-07-01,8.75,51
2024-07-02,2024-07-08,10.13,59
2024-07-09,2024-07-15,9.2,59
2024-07-16,2024-07-22,9.61,53
2024-07-23,2024-07-29,9.61,0
2024-07-30,2024-08-05,9.61,0
2024-08-06,2024-08-12,9.61,0
2024-08-13,2024-08-19,9.61,0
2024-08-20,2024-08-26,9.61,0
2024-08-27,2024-09-02,9.61,0
2024-09-03,2024-09-09,9.61,0
2024-09-10,2024-09-16,9.61,0
2024-09-17,2024-09-23,9.61,0
2024-09-24,2024-09-30,9.61,0
2024-10-01,2024-10-07,9.61,0
2024-10-08,2024-10-14,9.61,0
2024-10-15,2024-10-21,9.61,0
2024-10-22,2024-10-28,9.61,0
2024-10-29,2024-11-04,9.61,0
2024-11-05,2024-11-11,9.61,0
2024-11-12,2024-11-18,9.61,0
2024-11-19,2024-11-25,9.61,0
2024-11-26,2024-12-02,9.61,0
