start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,67.05,15
2023-12-10,2023-12-16,66.67,2
2023-12-19,2023-12-25,0.0,0
2023-12-26,2024-01-01,0.0,0
2024-01-02,2024-01-08,0.0,0
2024-01-09,2024-01-15,0.0,0
2024-01-16,2024-01-22,0.0,0
2024-01-23,2024-01-29,0.0,0
2024-01-30,2024-02-05,0.0,0
2024-02-06,2024-02-12,0.0,0
2024-02-13,2024-02-19,0.0,0
2024-02-20,2024-02-26,0.0,0
2024-02-27,2024-03-04,0.0,0
2024-03-05,2024-03-11,41.33,9
2024-03-12,2024-03-18,47.69,139
2024-03-19,2024-03-25,56.97,92
2024-03-26,2024-04-01,50.78,35
2024-04-02,2024-04-08,50.55,51
2024-04-09,2024-04-15,50.43,54
2024-04-16,2024-04-22,47.77,51
2024-04-23,2024-04-29,44.66,49
2024-04-30,2024-05-06,37.47,79
2024-05-07,2024-05-13,43.2,135
2024-05-14,2024-05-20,45.26,54
2024-05-21,2024-05-27,47.29,43
2024-05-28,2024-06-03,50.22,56
2024-06-04,2024-06-10,49.19,46
2024-06-11,2024-06-17,48.68,59
2024-06-18,2024-06-24,46.15,35
2024-06-25,2024-07-01,47.38,39
2024-07-02,2024-07-08,47.23,25
2024-07-09,2024-07-15,46.09,30
2024-07-16,2024-07-22,49.68,20
2024-07-23,2024-07-29,46.35,22
2024-07-30,2024-08-05,47.47,19
2024-08-06,2024-08-12,47.38,24
2024-08-13,2024-08-19,49.08,18
2024-08-20,2024-08-26,50.38,25
2024-08-27,2024-09-02,51.64,8
2024-09-03,2024-09-09,48.51,16
2024-09-10,2024-09-16,46.67,20
2024-09-17,2024-09-23,49.37,19
2024-09-24,2024-09-30,53.91,15
2024-10-01,2024-10-07,55.85,16
2024-10-08,2024-10-14,59.89,18
2024-10-15,2024-10-21,60.49,10
2024-10-22,2024-10-28,57.43,18
2024-10-29,2024-11-04,59.58,19
2024-11-05,2024-11-11,58.98,13
2024-11-12,2024-11-18,58.64,19
2024-11-19,2024-11-25,60.9,62
2024-11-26,2024-12-02,64.01,18
