start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,23.61,60
2023-12-10,2023-12-16,23.83,10
2023-12-19,2023-12-25,17.78,67
2023-12-26,2024-01-01,16.35,66
2024-01-02,2024-01-08,18.69,67
2024-01-09,2024-01-15,17.61,43
2024-01-16,2024-01-22,17.91,72
2024-01-23,2024-01-29,17.54,50
2024-01-30,2024-02-05,17.96,61
2024-02-06,2024-02-12,16.66,56
2024-02-13,2024-02-19,16.28,44
2024-02-20,2024-02-26,16.43,62
2024-02-27,2024-03-04,17.55,49
2024-03-05,2024-03-11,17.06,49
2024-03-12,2024-03-18,17.04,58
2024-03-19,2024-03-25,17.19,50
2024-03-26,2024-04-01,16.29,42
2024-04-02,2024-04-08,18.84,41
2024-04-09,2024-04-15,16.61,40
2024-04-16,2024-04-22,15.32,37
2024-04-23,2024-04-29,15.56,50
2024-04-30,2024-05-06,17.37,76
2024-05-07,2024-05-13,20.12,169
2024-05-14,2024-05-20,23.12,69
2024-05-21,2024-05-27,23.73,45
2024-05-28,2024-06-03,21.73,45
2024-06-04,2024-06-10,20.54,51
2024-06-11,2024-06-17,20.54,36
2024-06-18,2024-06-24,20.48,48
2024-06-25,2024-07-01,20.07,46
2024-07-02,2024-07-08,19.55,31
2024-07-09,2024-07-15,18.63,40
2024-07-16,2024-07-22,18.2,40
2024-07-23,2024-07-29,17.63,46
2024-07-30,2024-08-05,17.59,39
2024-08-06,2024-08-12,19.06,85
2024-08-13,2024-08-19,19.34,49
2024-08-20,2024-08-26,19.72,38
2024-08-27,2024-09-02,20.86,74
2024-09-03,2024-09-09,18.53,88
2024-09-10,2024-09-16,19.69,67
2024-09-17,2024-09-23,20.95,55
2024-09-24,2024-09-30,22.37,35
2024-10-01,2024-10-07,21.42,35
2024-10-08,2024-10-14,21.11,61
2024-10-15,2024-10-21,20.58,62
2024-10-22,2024-10-28,20.57,54
2024-10-29,2024-11-04,23.15,43
2024-11-05,2024-11-11,21.07,71
2024-11-12,2024-11-18,21.16,37
2024-11-19,2024-11-25,24.0,136
2024-11-26,2024-12-02,23.23,69
