start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,108.89,20
2023-12-10,2023-12-16,109.39,5
2023-12-19,2023-12-25,80.15,20
2023-12-26,2024-01-01,82.91,18
2024-01-02,2024-01-08,81.74,8
2024-01-09,2024-01-15,82.09,27
2024-01-16,2024-01-22,84.25,11
2024-01-23,2024-01-29,80.28,14
2024-01-30,2024-02-05,77.07,21
2024-02-06,2024-02-12,75.89,8
2024-02-13,2024-02-19,77.89,13
2024-02-20,2024-02-26,77.58,17
2024-02-27,2024-03-04,79.55,19
2024-03-05,2024-03-11,81.81,16
2024-03-12,2024-03-18,83.11,5
2024-03-19,2024-03-25,84.43,15
2024-03-26,2024-04-01,80.23,18
2024-04-02,2024-04-08,80.97,42
2024-04-09,2024-04-15,81.75,13
2024-04-16,2024-04-22,81.9,12
2024-04-23,2024-04-29,78.49,15
2024-04-30,2024-05-06,77.71,14
2024-05-07,2024-05-13,81.98,39
2024-05-14,2024-05-20,82.19,18
2024-05-21,2024-05-27,83.88,21
2024-05-28,2024-06-03,84.67,19
2024-06-04,2024-06-10,82.99,15
2024-06-11,2024-06-17,82.07,13
2024-06-18,2024-06-24,81.75,13
2024-06-25,2024-07-01,79.97,18
2024-07-02,2024-07-08,79.68,12
2024-07-09,2024-07-15,78.9,13
2024-07-16,2024-07-22,76.66,24
2024-07-23,2024-07-29,76.22,12
2024-07-30,2024-08-05,76.74,16
2024-08-06,2024-08-12,74.14,28
2024-08-13,2024-08-19,74.78,9
2024-08-20,2024-08-26,79.67,14
2024-08-27,2024-09-02,80.55,15
2024-09-03,2024-09-09,82.19,19
2024-09-10,2024-09-16,82.92,12
2024-09-17,2024-09-23,81.36,27
2024-09-24,2024-09-30,83.59,26
2024-10-01,2024-10-07,82.89,18
2024-10-08,2024-10-14,83.75,13
2024-10-15,2024-10-21,82.72,25
2024-10-22,2024-10-28,82.45,14
2024-10-29,2024-11-04,87.01,29
2024-11-05,2024-11-11,89.25,21
2024-11-12,2024-11-18,90.18,10
2024-11-19,2024-11-25,95.36,32
2024-11-26,2024-12-02,98.76,21
