start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.68,6
2023-12-10,2023-12-16,5.77,6
2023-12-19,2023-12-25,8.48,16
2023-12-26,2024-01-01,8.11,17
2024-01-02,2024-01-08,7.85,4
2024-01-09,2024-01-15,7.76,3
2024-01-16,2024-01-22,7.91,10
2024-01-23,2024-01-29,7.91,8
2024-01-30,2024-02-05,7.8,4
2024-02-06,2024-02-12,7.58,8
2024-02-13,2024-02-19,7.22,12
2024-02-20,2024-02-26,6.91,8
2024-02-27,2024-03-04,6.97,5
2024-03-05,2024-03-11,7.01,15
2024-03-12,2024-03-18,7.27,15
2024-03-19,2024-03-25,7.08,16
2024-03-26,2024-04-01,6.92,9
2024-04-02,2024-04-08,6.97,13
2024-04-09,2024-04-15,7.13,5
2024-04-16,2024-04-22,6.99,10
2024-04-23,2024-04-29,7.2,14
2024-04-30,2024-05-06,7.2,3
2024-05-07,2024-05-13,7.34,14
2024-05-14,2024-05-20,7.5,9
2024-05-21,2024-05-27,7.71,6
2024-05-28,2024-06-03,7.65,13
2024-06-04,2024-06-10,7.29,14
2024-06-11,2024-06-17,7.16,13
2024-06-18,2024-06-24,6.96,4
2024-06-25,2024-07-01,6.96,9
2024-07-02,2024-07-08,6.27,8
2024-07-09,2024-07-15,5.71,7
2024-07-16,2024-07-22,5.61,4
2024-07-23,2024-07-29,5.21,12
2024-07-30,2024-08-05,4.95,7
2024-08-06,2024-08-12,4.76,8
2024-08-13,2024-08-19,5.07,9
2024-08-20,2024-08-26,5.11,10
2024-08-27,2024-09-02,4.83,20
2024-09-03,2024-09-09,4.75,13
2024-09-10,2024-09-16,4.89,16
2024-09-17,2024-09-23,5.2,10
2024-09-24,2024-09-30,5.27,15
2024-10-01,2024-10-07,5.6,13
2024-10-08,2024-10-14,5.3,19
2024-10-15,2024-10-21,5.49,13
2024-10-22,2024-10-28,5.74,10
2024-10-29,2024-11-04,5.62,1
2024-11-05,2024-11-11,5.56,6
2024-11-12,2024-11-18,5.55,8
2024-11-19,2024-11-25,5.64,22
2024-11-26,2024-12-02,5.64,8
