start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,4.55,96
2023-12-10,2023-12-16,4.92,28
2023-12-12,2023-12-18,4.92,6
2023-12-26,2024-01-01,2.25,66
2024-01-02,2024-01-08,2.63,96
2024-01-09,2024-01-15,2.93,68
2024-01-16,2024-01-22,2.83,68
2024-01-23,2024-01-29,2.43,77
2024-01-30,2024-02-05,2.45,70
2024-02-06,2024-02-12,2.42,59
2024-02-13,2024-02-19,2.41,49
2024-02-20,2024-02-26,2.63,75
2024-02-27,2024-03-04,2.81,64
2024-03-05,2024-03-11,2.79,56
2024-03-12,2024-03-18,2.94,189
2024-03-19,2024-03-25,2.96,73
2024-03-26,2024-04-01,3.3,88
2024-04-02,2024-04-08,3.11,107
2024-04-09,2024-04-15,2.77,46
2024-04-16,2024-04-22,2.76,63
2024-04-23,2024-04-29,3.0,133
2024-04-30,2024-05-06,3.29,132
2024-05-07,2024-05-13,3.35,149
2024-05-14,2024-05-20,3.32,80
2024-05-21,2024-05-27,4.41,95
2024-05-28,2024-06-03,4.12,92
2024-06-04,2024-06-10,3.99,73
2024-06-11,2024-06-17,3.8,43
2024-06-18,2024-06-24,3.16,62
2024-06-25,2024-07-01,3.44,59
2024-07-02,2024-07-08,4.02,44
2024-07-09,2024-07-15,3.79,44
2024-07-16,2024-07-22,3.46,75
2024-07-23,2024-07-29,3.64,44
2024-07-30,2024-08-05,3.36,72
2024-08-06,2024-08-12,3.65,111
2024-08-13,2024-08-19,3.22,55
2024-08-20,2024-08-26,3.14,65
2024-08-27,2024-09-02,3.34,69
2024-09-03,2024-09-09,3.62,48
2024-09-10,2024-09-16,3.45,67
2024-09-17,2024-09-23,3.73,63
2024-09-24,2024-09-30,4.05,50
2024-10-01,2024-10-07,4.01,71
2024-10-08,2024-10-14,3.46,56
2024-10-15,2024-10-21,3.94,88
2024-10-22,2024-10-28,3.51,54
2024-10-29,2024-11-04,3.56,72
2024-11-05,2024-11-11,3.94,68
2024-11-12,2024-11-18,4.49,84
2024-11-19,2024-11-25,4.59,142
2024-11-26,2024-12-02,4.53,106
