start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.04,22
2023-12-10,2023-12-16,5.19,8
2023-12-12,2023-12-18,5.19,2
2023-12-26,2024-01-01,2.29,37
2024-01-02,2024-01-08,1.77,39
2024-01-09,2024-01-15,1.66,96
2024-01-16,2024-01-22,1.69,45
2024-01-23,2024-01-29,1.52,45
2024-01-30,2024-02-05,1.61,70
2024-02-06,2024-02-12,1.67,29
2024-02-13,2024-02-19,1.63,60
2024-02-20,2024-02-26,1.87,44
2024-02-27,2024-03-04,1.47,46
2024-03-05,2024-03-11,2.04,55
2024-03-12,2024-03-18,1.91,17
2024-03-19,2024-03-25,1.72,28
2024-03-26,2024-04-01,1.84,49
2024-04-02,2024-04-08,1.92,68
2024-04-09,2024-04-15,1.63,31
2024-04-16,2024-04-22,2.04,50
2024-04-23,2024-04-29,2.35,80
2024-04-30,2024-05-06,2.03,23
2024-05-07,2024-05-13,2.13,79
2024-05-14,2024-05-20,1.75,67
2024-05-21,2024-05-27,2.15,39
2024-05-28,2024-06-03,2.16,29
2024-06-04,2024-06-10,1.87,48
2024-06-11,2024-06-17,1.53,64
2024-06-18,2024-06-24,2.02,30
2024-06-25,2024-07-01,1.87,47
2024-07-02,2024-07-08,1.87,19
2024-07-09,2024-07-15,2.06,51
2024-07-16,2024-07-22,1.77,24
2024-07-23,2024-07-29,1.92,30
2024-07-30,2024-08-05,2.11,117
2024-08-06,2024-08-12,2.28,21
2024-08-13,2024-08-19,2.64,33
2024-08-20,2024-08-26,3.01,82
2024-08-27,2024-09-02,3.25,23
2024-09-03,2024-09-09,3.01,41
2024-09-10,2024-09-16,3.6,58
2024-09-17,2024-09-23,3.55,18
2024-09-24,2024-09-30,3.44,22
2024-10-01,2024-10-07,3.38,16
2024-10-08,2024-10-14,3.52,20
2024-10-15,2024-10-21,3.8,119
2024-10-22,2024-10-28,4.07,37
2024-10-29,2024-11-04,3.92,59
2024-11-05,2024-11-11,4.34,37
2024-11-12,2024-11-18,4.12,31
2024-11-19,2024-11-25,4.23,57
2024-11-26,2024-12-02,5.45,49
