start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,51.71,1
2023-12-12,2023-12-18,52.27,0
2023-12-19,2023-12-25,51.12,2
2023-12-26,2024-01-01,50.1,2
2024-01-02,2024-01-08,50.1,0
2024-01-09,2024-01-15,49.56,3
2024-01-16,2024-01-22,49.88,2
2024-01-23,2024-01-29,50.4,1
2024-01-30,2024-02-05,50.44,1
2024-02-06,2024-02-12,49.52,2
2024-02-13,2024-02-19,48.32,1
2024-02-20,2024-02-26,47.83,5
2024-02-27,2024-03-04,47.71,1
2024-03-05,2024-03-11,47.96,1
2024-03-12,2024-03-18,47.86,1
2024-03-19,2024-03-25,49.03,3
2024-03-26,2024-04-01,48.96,1
2024-04-02,2024-04-08,48.6,1
2024-04-09,2024-04-15,48.86,1
2024-04-16,2024-04-22,49.0,2
2024-04-23,2024-04-29,49.04,1
2024-04-30,2024-05-06,48.88,2
2024-05-07,2024-05-13,46.66,6
2024-05-14,2024-05-20,45.9,4
2024-05-21,2024-05-27,44.42,2
2024-05-28,2024-06-03,42.05,3
2024-06-04,2024-06-10,42.71,1
2024-06-11,2024-06-17,42.79,1
2024-06-18,2024-06-24,41.4,3
2024-06-25,2024-07-01,41.67,1
2024-07-02,2024-07-08,40.81,2
2024-07-09,2024-07-15,40.87,0
2024-07-16,2024-07-22,42.2,4
2024-07-23,2024-07-29,42.78,2
2024-07-30,2024-08-05,42.9,1
2024-08-06,2024-08-12,43.3,3
2024-08-13,2024-08-19,43.3,0
2024-08-20,2024-08-26,43.75,1
2024-08-27,2024-09-02,44.81,3
2024-09-03,2024-09-09,44.81,0
2024-09-10,2024-09-16,44.86,4
2024-09-17,2024-09-23,44.86,0
2024-09-24,2024-09-30,45.15,2
2024-10-01,2024-10-07,45.61,3
2024-10-08,2024-10-14,46.23,3
2024-10-15,2024-10-21,47.16,1
2024-10-22,2024-10-28,48.27,3
2024-10-29,2024-11-04,49.43,3
2024-11-05,2024-11-11,49.91,1
2024-11-12,2024-11-18,50.62,1
2024-11-19,2024-11-25,51.02,1
2024-11-26,2024-12-02,51.49,2
