start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,13.49,6
2023-12-12,2023-12-18,13.5,2
2023-12-19,2023-12-25,13.53,3
2023-12-26,2024-01-01,13.65,6
2024-01-02,2024-01-08,13.87,4
2024-01-09,2024-01-15,13.97,1
2024-01-16,2024-01-22,13.99,2
2024-01-23,2024-01-29,15.35,5
2024-01-30,2024-02-05,15.09,1
2024-02-06,2024-02-12,15.14,2
2024-02-13,2024-02-19,15.04,0
2024-02-20,2024-02-26,15.5,6
2024-02-27,2024-03-04,16.99,7
2024-03-05,2024-03-11,16.99,0
2024-03-12,2024-03-18,17.31,1
2024-03-19,2024-03-25,17.31,0
2024-03-26,2024-04-01,17.34,3
2024-04-02,2024-04-08,17.61,2
2024-04-09,2024-04-15,17.76,3
2024-04-16,2024-04-22,17.48,5
2024-04-23,2024-04-29,17.42,3
2024-04-30,2024-05-06,17.69,5
2024-05-07,2024-05-13,17.63,2
2024-05-14,2024-05-20,17.49,1
2024-05-21,2024-05-27,16.4,8
2024-05-28,2024-06-03,16.47,4
2024-06-04,2024-06-10,16.71,2
2024-06-11,2024-06-17,16.71,0
2024-06-18,2024-06-24,16.71,0
2024-06-25,2024-07-01,16.71,0
2024-07-02,2024-07-08,16.56,6
2024-07-09,2024-07-15,16.58,3
2024-07-16,2024-07-22,16.74,0
2024-07-23,2024-07-29,16.64,5
2024-07-30,2024-08-05,16.64,0
2024-08-06,2024-08-12,17.04,2
2024-08-13,2024-08-19,17.12,1
2024-08-20,2024-08-26,16.73,2
2024-08-27,2024-09-02,16.36,3
2024-09-03,2024-09-09,16.36,1
2024-09-10,2024-09-16,16.02,2
2024-09-17,2024-09-23,15.94,1
2024-09-24,2024-09-30,15.92,1
2024-10-01,2024-10-07,15.92,0
2024-10-08,2024-10-14,15.72,2
2024-10-15,2024-10-21,15.63,3
2024-10-22,2024-10-28,15.63,0
2024-10-29,2024-11-04,15.5,1
2024-11-05,2024-11-11,15.46,1
2024-11-12,2024-11-18,15.34,4
2024-11-19,2024-11-25,15.29,9
2024-11-26,2024-12-02,15.26,1
