start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,70.27,0
2023-12-12,2023-12-18,72.74,0
2023-12-19,2023-12-25,72.74,0
2023-12-26,2024-01-01,72.74,0
2024-01-02,2024-01-08,75.08,0
2024-01-09,2024-01-15,75.08,0
2024-01-16,2024-01-22,72.67,0
2024-01-23,2024-01-29,70.47,0
2024-01-30,2024-02-05,70.47,0
2024-02-06,2024-02-12,70.47,0
2024-02-13,2024-02-19,70.47,0
2024-02-20,2024-02-26,70.47,0
2024-02-27,2024-03-04,65.23,1
2024-03-05,2024-03-11,65.23,0
2024-03-12,2024-03-18,65.23,0
2024-03-19,2024-03-25,65.23,0
2024-03-26,2024-04-01,65.23,0
2024-04-02,2024-04-08,65.23,0
2024-04-09,2024-04-15,65.23,0
2024-04-16,2024-04-22,65.23,0
2024-04-23,2024-04-29,65.23,0
2024-04-30,2024-05-06,65.23,0
2024-05-07,2024-05-13,65.23,1
2024-05-14,2024-05-20,65.23,0
2024-05-21,2024-05-27,65.23,0
2024-05-28,2024-06-03,62.61,0
2024-06-04,2024-06-10,62.61,0
2024-06-11,2024-06-17,62.61,0
2024-06-18,2024-06-24,62.61,0
2024-06-25,2024-07-01,62.61,0
2024-07-02,2024-07-08,62.61,0
2024-07-09,2024-07-15,62.61,0
2024-07-16,2024-07-22,62.61,0
2024-07-23,2024-07-29,62.61,0
2024-07-30,2024-08-05,62.61,0
2024-08-06,2024-08-12,62.61,0
2024-08-13,2024-08-19,62.61,0
2024-08-20,2024-08-26,62.61,0
2024-08-27,2024-09-02,65.23,0
2024-09-03,2024-09-09,65.23,0
2024-09-10,2024-09-16,65.23,0
2024-09-17,2024-09-23,65.23,0
2024-09-24,2024-09-30,65.23,0
2024-10-01,2024-10-07,65.23,0
2024-10-08,2024-10-14,65.23,0
2024-10-15,2024-10-21,65.23,0
2024-10-22,2024-10-28,82.61,1
2024-10-29,2024-11-04,82.61,0
2024-11-05,2024-11-11,99.99,0
2024-11-12,2024-11-18,99.99,0
2024-11-19,2024-11-25,99.99,0
2024-11-26,2024-12-02,82.87,1
