start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,386.26,1
2023-12-12,2023-12-18,396.66,0
2023-12-19,2023-12-25,396.66,0
2023-12-26,2024-01-01,396.66,0
2024-01-02,2024-01-08,396.66,0
2024-01-09,2024-01-15,396.66,0
2024-01-16,2024-01-22,396.66,0
2024-01-23,2024-01-29,395.0,0
2024-01-30,2024-02-05,395.0,0
2024-02-06,2024-02-12,395.0,0
2024-02-13,2024-02-19,395.0,0
2024-02-20,2024-02-26,395.0,0
2024-02-27,2024-03-04,395.0,0
2024-03-05,2024-03-11,395.0,0
2024-03-12,2024-03-18,395.0,0
2024-03-19,2024-03-25,395.0,0
2024-03-26,2024-04-01,390.0,0
2024-04-02,2024-04-08,390.0,0
2024-04-09,2024-04-15,390.0,0
2024-04-16,2024-04-22,390.0,0
2024-04-23,2024-04-29,390.0,0
2024-04-30,2024-05-06,390.0,0
2024-05-07,2024-05-13,390.0,0
2024-05-14,2024-05-20,390.0,0
2024-05-21,2024-05-27,390.0,0
2024-05-28,2024-06-03,390.0,0
2024-06-04,2024-06-10,390.0,0
2024-06-11,2024-06-17,390.0,0
2024-06-18,2024-06-24,390.0,0
2024-06-25,2024-07-01,390.0,0
2024-07-02,2024-07-08,390.0,0
2024-07-09,2024-07-15,390.0,0
2024-07-16,2024-07-22,390.0,0
2024-07-23,2024-07-29,390.0,0
2024-07-30,2024-08-05,390.0,0
2024-08-06,2024-08-12,390.0,0
2024-08-13,2024-08-19,390.0,0
2024-08-20,2024-08-26,390.0,0
2024-08-27,2024-09-02,390.0,0
2024-09-03,2024-09-09,390.0,0
2024-09-10,2024-09-16,390.0,0
2024-09-17,2024-09-23,390.0,0
2024-09-24,2024-09-30,390.0,0
2024-10-01,2024-10-07,390.0,0
2024-10-08,2024-10-14,390.0,0
2024-10-15,2024-10-21,390.0,0
2024-10-22,2024-10-28,390.0,0
2024-10-29,2024-11-04,390.0,0
2024-11-05,2024-11-11,390.0,0
2024-11-12,2024-11-18,390.0,0
2024-11-19,2024-11-25,390.0,0
2024-11-26,2024-12-02,387.51,1
