start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,30.5,0
2023-12-12,2023-12-18,30.5,0
2023-12-19,2023-12-25,30.5,0
2023-12-26,2024-01-01,32.58,1
2024-01-02,2024-01-08,34.36,0
2024-01-09,2024-01-15,34.36,0
2024-01-16,2024-01-22,34.36,0
2024-01-23,2024-01-29,34.36,0
2024-01-30,2024-02-05,34.36,0
2024-02-06,2024-02-12,34.36,0
2024-02-13,2024-02-19,34.36,0
2024-02-20,2024-02-26,34.36,0
2024-02-27,2024-03-04,34.36,0
2024-03-05,2024-03-11,35.65,1
2024-03-12,2024-03-18,35.65,0
2024-03-19,2024-03-25,35.65,0
2024-03-26,2024-04-01,35.65,0
2024-04-02,2024-04-08,35.65,0
2024-04-09,2024-04-15,35.65,0
2024-04-16,2024-04-22,35.65,0
2024-04-23,2024-04-29,35.65,0
2024-04-30,2024-05-06,35.65,0
2024-05-07,2024-05-13,35.65,0
2024-05-14,2024-05-20,37.48,0
2024-05-21,2024-05-27,37.48,0
2024-05-28,2024-06-03,37.48,0
2024-06-04,2024-06-10,37.48,0
2024-06-11,2024-06-17,37.48,0
2024-06-18,2024-06-24,38.23,0
2024-06-25,2024-07-01,38.23,0
2024-07-02,2024-07-08,38.23,0
2024-07-09,2024-07-15,38.23,0
2024-07-16,2024-07-22,38.23,0
2024-07-23,2024-07-29,44.1,1
2024-07-30,2024-08-05,44.1,0
2024-08-06,2024-08-12,44.1,0
2024-08-13,2024-08-19,44.1,0
2024-08-20,2024-08-26,44.1,0
2024-08-27,2024-09-02,44.1,0
2024-09-03,2024-09-09,49.97,1
2024-09-10,2024-09-16,37.31,1
2024-09-17,2024-09-23,37.31,0
2024-09-24,2024-09-30,37.31,0
2024-10-01,2024-10-07,37.31,0
2024-10-08,2024-10-14,37.31,0
2024-10-15,2024-10-21,37.31,0
2024-10-22,2024-10-28,37.31,0
2024-10-29,2024-11-04,37.31,0
2024-11-05,2024-11-11,37.31,0
2024-11-12,2024-11-18,41.38,1
2024-11-19,2024-11-25,41.38,0
2024-11-26,2024-12-02,41.38,0
