start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,185.99,0
2023-12-12,2023-12-18,152.16,0
2023-12-19,2023-12-25,152.16,0
2023-12-26,2024-01-01,153.6,0
2024-01-02,2024-01-08,153.6,0
2024-01-09,2024-01-15,153.6,0
2024-01-16,2024-01-22,153.6,0
2024-01-23,2024-01-29,153.6,0
2024-01-30,2024-02-05,153.6,0
2024-02-06,2024-02-12,157.62,0
2024-02-13,2024-02-19,157.62,0
2024-02-20,2024-02-26,163.33,0
2024-02-27,2024-03-04,163.33,0
2024-03-05,2024-03-11,163.33,0
2024-03-12,2024-03-18,163.33,0
2024-03-19,2024-03-25,163.1,2
2024-03-26,2024-04-01,162.62,0
2024-04-02,2024-04-08,162.62,0
2024-04-09,2024-04-15,162.62,0
2024-04-16,2024-04-22,162.62,0
2024-04-23,2024-04-29,163.5,0
2024-04-30,2024-05-06,163.5,0
2024-05-07,2024-05-13,159.87,2
2024-05-14,2024-05-20,159.87,0
2024-05-21,2024-05-27,159.87,0
2024-05-28,2024-06-03,159.87,0
2024-06-04,2024-06-10,159.87,0
2024-06-11,2024-06-17,159.87,0
2024-06-18,2024-06-24,159.87,0
2024-06-25,2024-07-01,159.87,0
2024-07-02,2024-07-08,159.87,0
2024-07-09,2024-07-15,159.87,0
2024-07-16,2024-07-22,167.7,1
2024-07-23,2024-07-29,167.7,0
2024-07-30,2024-08-05,167.7,0
2024-08-06,2024-08-12,167.7,0
2024-08-13,2024-08-19,167.7,0
2024-08-20,2024-08-26,167.7,0
2024-08-27,2024-09-02,167.7,0
2024-09-03,2024-09-09,167.24,1
2024-09-10,2024-09-16,167.24,0
2024-09-17,2024-09-23,169.49,0
2024-09-24,2024-09-30,169.49,0
2024-10-01,2024-10-07,169.49,0
2024-10-08,2024-10-14,169.49,0
2024-10-15,2024-10-21,173.59,1
2024-10-22,2024-10-28,173.59,0
2024-10-29,2024-11-04,176.32,1
2024-11-05,2024-11-11,185.99,0
2024-11-12,2024-11-18,185.99,0
2024-11-19,2024-11-25,185.99,0
2024-11-26,2024-12-02,185.99,0
