start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,42.94,0
2023-12-12,2023-12-18,42.94,0
2023-12-19,2023-12-25,42.93,0
2023-12-26,2024-01-01,42.93,0
2024-01-02,2024-01-08,42.86,1
2024-01-09,2024-01-15,42.86,0
2024-01-16,2024-01-22,42.86,0
2024-01-23,2024-01-29,42.86,0
2024-01-30,2024-02-05,42.86,0
2024-02-06,2024-02-12,42.86,0
2024-02-13,2024-02-19,42.86,0
2024-02-20,2024-02-26,44.52,1
2024-02-27,2024-03-04,44.52,0
2024-03-05,2024-03-11,43.63,0
2024-03-12,2024-03-18,43.63,0
2024-03-19,2024-03-25,43.63,0
2024-03-26,2024-04-01,43.79,0
2024-04-02,2024-04-08,43.79,0
2024-04-09,2024-04-15,49.02,2
2024-04-16,2024-04-22,49.02,0
2024-04-23,2024-04-29,49.02,0
2024-04-30,2024-05-06,49.02,1
2024-05-07,2024-05-13,49.02,0
2024-05-14,2024-05-20,49.91,0
2024-05-21,2024-05-27,51.09,0
2024-05-28,2024-06-03,51.09,0
2024-06-04,2024-06-10,51.09,0
2024-06-11,2024-06-17,51.09,0
2024-06-18,2024-06-24,51.09,0
2024-06-25,2024-07-01,51.09,0
2024-07-02,2024-07-08,53.24,0
2024-07-09,2024-07-15,53.24,0
2024-07-16,2024-07-22,53.24,0
2024-07-23,2024-07-29,53.24,0
2024-07-30,2024-08-05,53.24,0
2024-08-06,2024-08-12,53.24,0
2024-08-13,2024-08-19,55.99,0
2024-08-20,2024-08-26,55.99,0
2024-08-27,2024-09-02,55.99,0
2024-09-03,2024-09-09,55.99,0
2024-09-10,2024-09-16,55.99,0
2024-09-17,2024-09-23,55.99,0
2024-09-24,2024-09-30,55.99,0
2024-10-01,2024-10-07,54.5,0
2024-10-08,2024-10-14,49.02,0
2024-10-15,2024-10-21,49.02,0
2024-10-22,2024-10-28,49.02,0
2024-10-29,2024-11-04,49.02,0
2024-11-05,2024-11-11,49.02,0
2024-11-12,2024-11-18,64.0,1
2024-11-19,2024-11-25,64.0,1
2024-11-26,2024-12-02,64.0,0
