start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,9.0,0
2023-12-12,2023-12-18,9.0,0
2023-12-19,2023-12-25,9.0,0
2023-12-26,2024-01-01,9.0,0
2024-01-02,2024-01-08,9.0,0
2024-01-09,2024-01-15,9.0,0
2024-01-16,2024-01-22,8.45,0
2024-01-23,2024-01-29,8.45,0
2024-01-30,2024-02-05,8.45,0
2024-02-06,2024-02-12,8.82,1
2024-02-13,2024-02-19,8.82,0
2024-02-20,2024-02-26,8.82,0
2024-02-27,2024-03-04,8.82,0
2024-03-05,2024-03-11,8.82,0
2024-03-12,2024-03-18,8.82,0
2024-03-19,2024-03-25,8.82,0
2024-03-26,2024-04-01,8.89,5
2024-04-02,2024-04-08,8.78,0
2024-04-09,2024-04-15,8.78,0
2024-04-16,2024-04-22,8.78,0
2024-04-23,2024-04-29,8.78,0
2024-04-30,2024-05-06,8.84,0
2024-05-07,2024-05-13,8.84,0
2024-05-14,2024-05-20,8.84,0
2024-05-21,2024-05-27,8.84,0
2024-05-28,2024-06-03,8.84,0
2024-06-04,2024-06-10,8.48,1
2024-06-11,2024-06-17,8.48,0
2024-06-18,2024-06-24,8.48,0
2024-06-25,2024-07-01,8.48,0
2024-07-02,2024-07-08,8.48,0
2024-07-09,2024-07-15,8.46,1
2024-07-16,2024-07-22,8.46,0
2024-07-23,2024-07-29,8.46,0
2024-07-30,2024-08-05,8.46,0
2024-08-06,2024-08-12,8.46,0
2024-08-13,2024-08-19,8.46,0
2024-08-20,2024-08-26,8.46,0
2024-08-27,2024-09-02,8.46,0
2024-09-03,2024-09-09,8.46,0
2024-09-10,2024-09-16,8.46,0
2024-09-17,2024-09-23,8.47,1
2024-09-24,2024-09-30,7.99,1
2024-10-01,2024-10-07,7.99,0
2024-10-08,2024-10-14,7.99,0
2024-10-15,2024-10-21,7.99,0
2024-10-22,2024-10-28,7.99,0
2024-10-29,2024-11-04,7.99,0
2024-11-05,2024-11-11,7.99,0
2024-11-12,2024-11-18,6.69,1
2024-11-19,2024-11-25,5.2,2
2024-11-26,2024-12-02,5.73,0
