start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,23.08,1
2023-12-12,2023-12-18,23.08,0
2023-12-19,2023-12-25,23.23,0
2023-12-26,2024-01-01,23.23,0
2024-01-02,2024-01-08,23.23,0
2024-01-09,2024-01-15,23.23,0
2024-01-16,2024-01-22,23.23,0
2024-01-23,2024-01-29,23.56,0
2024-01-30,2024-02-05,23.28,0
2024-02-06,2024-02-12,23.94,0
2024-02-13,2024-02-19,23.94,0
2024-02-20,2024-02-26,24.95,0
2024-02-27,2024-03-04,23.94,0
2024-03-05,2024-03-11,23.94,0
2024-03-12,2024-03-18,23.96,0
2024-03-19,2024-03-25,23.95,0
2024-03-26,2024-04-01,25.66,1
2024-04-02,2024-04-08,25.66,0
2024-04-09,2024-04-15,25.66,0
2024-04-16,2024-04-22,25.87,1
2024-04-23,2024-04-29,25.87,0
2024-04-30,2024-05-06,25.87,0
2024-05-07,2024-05-13,25.87,0
2024-05-14,2024-05-20,26.12,0
2024-05-21,2024-05-27,26.12,0
2024-05-28,2024-06-03,26.12,0
2024-06-04,2024-06-10,27.22,3
2024-06-11,2024-06-17,27.32,1
2024-06-18,2024-06-24,27.32,0
2024-06-25,2024-07-01,27.32,0
2024-07-02,2024-07-08,27.32,0
2024-07-09,2024-07-15,27.32,0
2024-07-16,2024-07-22,27.32,0
2024-07-23,2024-07-29,27.32,0
2024-07-30,2024-08-05,27.32,0
2024-08-06,2024-08-12,27.32,0
2024-08-13,2024-08-19,27.32,0
2024-08-20,2024-08-26,27.32,0
2024-08-27,2024-09-02,27.32,0
2024-09-03,2024-09-09,26.75,1
2024-09-10,2024-09-16,26.75,0
2024-09-17,2024-09-23,25.94,0
2024-09-24,2024-09-30,25.46,1
2024-10-01,2024-10-07,25.46,0
2024-10-08,2024-10-14,25.93,1
2024-10-15,2024-10-21,25.82,0
2024-10-22,2024-10-28,25.82,0
2024-10-29,2024-11-04,25.82,0
2024-11-05,2024-11-11,25.82,0
2024-11-12,2024-11-18,25.82,0
2024-11-19,2024-11-25,26.52,1
2024-11-26,2024-12-02,27.51,1
