start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,107.22,0
2023-12-12,2023-12-18,64.24,0
2023-12-19,2023-12-25,64.24,0
2023-12-26,2024-01-01,64.24,0
2024-01-02,2024-01-08,64.24,0
2024-01-09,2024-01-15,64.24,0
2024-01-16,2024-01-22,64.24,0
2024-01-23,2024-01-29,62.32,0
2024-01-30,2024-02-05,59.24,1
2024-02-06,2024-02-12,59.24,0
2024-02-13,2024-02-19,84.47,2
2024-02-20,2024-02-26,84.47,0
2024-02-27,2024-03-04,84.47,0
2024-03-05,2024-03-11,84.47,0
2024-03-12,2024-03-18,84.47,0
2024-03-19,2024-03-25,98.96,0
2024-03-26,2024-04-01,106.62,0
2024-04-02,2024-04-08,106.62,0
2024-04-09,2024-04-15,106.22,1
2024-04-16,2024-04-22,106.22,0
2024-04-23,2024-04-29,106.3,1
2024-04-30,2024-05-06,101.91,1
2024-05-07,2024-05-13,101.91,0
2024-05-14,2024-05-20,101.91,0
2024-05-21,2024-05-27,101.91,0
2024-05-28,2024-06-03,101.91,0
2024-06-04,2024-06-10,101.91,0
2024-06-11,2024-06-17,101.91,0
2024-06-18,2024-06-24,101.91,0
2024-06-25,2024-07-01,101.91,0
2024-07-02,2024-07-08,101.91,0
2024-07-09,2024-07-15,101.91,0
2024-07-16,2024-07-22,101.91,0
2024-07-23,2024-07-29,101.91,0
2024-07-30,2024-08-05,113.38,1
2024-08-06,2024-08-12,108.07,0
2024-08-13,2024-08-19,102.59,0
2024-08-20,2024-08-26,102.59,0
2024-08-27,2024-09-02,102.59,0
2024-09-03,2024-09-09,102.59,0
2024-09-10,2024-09-16,102.59,0
2024-09-17,2024-09-23,102.59,0
2024-09-24,2024-09-30,102.59,0
2024-10-01,2024-10-07,106.07,1
2024-10-08,2024-10-14,106.34,0
2024-10-15,2024-10-21,106.34,0
2024-10-22,2024-10-28,106.25,0
2024-10-29,2024-11-04,119.38,0
2024-11-05,2024-11-11,119.38,0
2024-11-12,2024-11-18,119.38,0
2024-11-19,2024-11-25,107.22,2
2024-11-26,2024-12-02,107.22,0
