start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,27.52,0
2023-12-12,2023-12-18,27.52,0
2023-12-19,2023-12-25,27.52,0
2023-12-26,2024-01-01,26.79,0
2024-01-02,2024-01-08,26.3,1
2024-01-09,2024-01-15,26.76,1
2024-01-16,2024-01-22,26.76,0
2024-01-23,2024-01-29,26.76,0
2024-01-30,2024-02-05,26.76,1
2024-02-06,2024-02-12,26.76,0
2024-02-13,2024-02-19,26.76,0
2024-02-20,2024-02-26,26.76,0
2024-02-27,2024-03-04,26.8,0
2024-03-05,2024-03-11,26.74,1
2024-03-12,2024-03-18,26.74,0
2024-03-19,2024-03-25,26.74,0
2024-03-26,2024-04-01,27.1,1
2024-04-02,2024-04-08,27.1,0
2024-04-09,2024-04-15,27.1,0
2024-04-16,2024-04-22,27.1,0
2024-04-23,2024-04-29,27.1,1
2024-04-30,2024-05-06,26.78,0
2024-05-07,2024-05-13,27.2,0
2024-05-14,2024-05-20,27.36,0
2024-05-21,2024-05-27,27.36,0
2024-05-28,2024-06-03,27.36,0
2024-06-04,2024-06-10,27.36,0
2024-06-11,2024-06-17,27.36,0
2024-06-18,2024-06-24,27.36,0
2024-06-25,2024-07-01,27.36,0
2024-07-02,2024-07-08,28.16,0
2024-07-09,2024-07-15,26.86,1
2024-07-16,2024-07-22,26.6,1
2024-07-23,2024-07-29,26.6,0
2024-07-30,2024-08-05,26.57,0
2024-08-06,2024-08-12,26.43,2
2024-08-13,2024-08-19,26.43,0
2024-08-20,2024-08-26,26.43,0
2024-08-27,2024-09-02,26.43,0
2024-09-03,2024-09-09,26.34,0
2024-09-10,2024-09-16,26.34,0
2024-09-17,2024-09-23,26.33,1
2024-09-24,2024-09-30,25.82,0
2024-10-01,2024-10-07,24.96,1
2024-10-08,2024-10-14,24.33,3
2024-10-15,2024-10-21,24.33,0
2024-10-22,2024-10-28,23.8,0
2024-10-29,2024-11-04,23.7,1
2024-11-05,2024-11-11,23.9,1
2024-11-12,2024-11-18,23.9,0
2024-11-19,2024-11-25,23.89,1
2024-11-26,2024-12-02,23.89,0
