start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,19.83,0
2023-12-12,2023-12-18,20.77,0
2023-12-19,2023-12-25,20.77,0
2023-12-26,2024-01-01,21.19,0
2024-01-02,2024-01-08,21.19,0
2024-01-09,2024-01-15,21.1,0
2024-01-16,2024-01-22,21.1,0
2024-01-23,2024-01-29,21.1,0
2024-01-30,2024-02-05,21.36,1
2024-02-06,2024-02-12,21.75,0
2024-02-13,2024-02-19,21.96,1
2024-02-20,2024-02-26,21.68,0
2024-02-27,2024-03-04,21.68,0
2024-03-05,2024-03-11,22.09,1
2024-03-12,2024-03-18,22.27,0
2024-03-19,2024-03-25,22.27,0
2024-03-26,2024-04-01,22.27,0
2024-04-02,2024-04-08,22.27,0
2024-04-09,2024-04-15,22.74,0
2024-04-16,2024-04-22,22.74,0
2024-04-23,2024-04-29,22.74,0
2024-04-30,2024-05-06,23.29,0
2024-05-07,2024-05-13,23.29,0
2024-05-14,2024-05-20,23.29,0
2024-05-21,2024-05-27,23.29,0
2024-05-28,2024-06-03,23.29,0
2024-06-04,2024-06-10,23.96,0
2024-06-11,2024-06-17,23.96,0
2024-06-18,2024-06-24,23.96,0
2024-06-25,2024-07-01,23.96,0
2024-07-02,2024-07-08,23.96,0
2024-07-09,2024-07-15,23.96,0
2024-07-16,2024-07-22,23.96,0
2024-07-23,2024-07-29,23.96,0
2024-07-30,2024-08-05,24.22,0
2024-08-06,2024-08-12,24.22,0
2024-08-13,2024-08-19,24.99,0
2024-08-20,2024-08-26,24.99,0
2024-08-27,2024-09-02,24.99,0
2024-09-03,2024-09-09,24.99,0
2024-09-10,2024-09-16,24.99,0
2024-09-17,2024-09-23,24.99,0
2024-09-24,2024-09-30,24.99,0
2024-10-01,2024-10-07,24.99,0
2024-10-08,2024-10-14,24.99,0
2024-10-15,2024-10-21,24.99,0
2024-10-22,2024-10-28,24.99,0
2024-10-29,2024-11-04,17.82,1
2024-11-05,2024-11-11,17.82,1
2024-11-12,2024-11-18,18.81,4
2024-11-19,2024-11-25,19.54,1
2024-11-26,2024-12-02,19.83,0
