start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,18.5,0
2023-12-12,2023-12-18,18.5,0
2023-12-19,2023-12-25,18.42,1
2023-12-26,2024-01-01,18.42,0
2024-01-02,2024-01-08,18.42,0
2024-01-09,2024-01-15,18.42,0
2024-01-16,2024-01-22,18.42,0
2024-01-23,2024-01-29,18.42,0
2024-01-30,2024-02-05,18.42,0
2024-02-06,2024-02-12,18.39,1
2024-02-13,2024-02-19,18.39,0
2024-02-20,2024-02-26,18.43,0
2024-02-27,2024-03-04,18.64,1
2024-03-05,2024-03-11,18.64,0
2024-03-12,2024-03-18,18.64,0
2024-03-19,2024-03-25,18.64,0
2024-03-26,2024-04-01,18.66,0
2024-04-02,2024-04-08,18.3,1
2024-04-09,2024-04-15,18.3,0
2024-04-16,2024-04-22,17.94,1
2024-04-23,2024-04-29,17.93,1
2024-04-30,2024-05-06,17.79,1
2024-05-07,2024-05-13,17.79,0
2024-05-14,2024-05-20,17.79,0
2024-05-21,2024-05-27,17.9,1
2024-05-28,2024-06-03,17.9,0
2024-06-04,2024-06-10,17.9,0
2024-06-11,2024-06-17,17.9,0
2024-06-18,2024-06-24,17.52,0
2024-06-25,2024-07-01,17.52,0
2024-07-02,2024-07-08,17.52,0
2024-07-09,2024-07-15,17.78,2
2024-07-16,2024-07-22,17.78,0
2024-07-23,2024-07-29,17.78,0
2024-07-30,2024-08-05,17.78,0
2024-08-06,2024-08-12,17.72,0
2024-08-13,2024-08-19,17.72,0
2024-08-20,2024-08-26,18.22,1
2024-08-27,2024-09-02,17.97,1
2024-09-03,2024-09-09,17.97,0
2024-09-10,2024-09-16,17.97,0
2024-09-17,2024-09-23,17.97,0
2024-09-24,2024-09-30,17.97,0
2024-10-01,2024-10-07,18.15,0
2024-10-08,2024-10-14,18.15,0
2024-10-15,2024-10-21,18.49,0
2024-10-22,2024-10-28,19.34,2
2024-10-29,2024-11-04,19.67,0
2024-11-05,2024-11-11,19.67,0
2024-11-12,2024-11-18,19.65,1
2024-11-19,2024-11-25,19.79,0
2024-11-26,2024-12-02,19.79,0
