start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,58.49,0
2023-12-10,2023-12-16,58.49,0
2023-12-19,2023-12-25,62.06,2
2023-12-26,2024-01-01,62.06,0
2024-01-02,2024-01-08,62.06,0
2024-01-09,2024-01-15,61.17,0
2024-01-16,2024-01-22,61.23,0
2024-01-23,2024-01-29,61.23,0
2024-01-30,2024-02-05,61.23,0
2024-02-06,2024-02-12,61.17,0
2024-02-13,2024-02-19,59.67,1
2024-02-20,2024-02-26,60.57,1
2024-02-27,2024-03-04,60.11,1
2024-03-05,2024-03-11,60.11,0
2024-03-12,2024-03-18,60.82,0
2024-03-19,2024-03-25,61.83,2
2024-03-26,2024-04-01,61.83,0
2024-04-02,2024-04-08,61.91,0
2024-04-09,2024-04-15,61.91,0
2024-04-16,2024-04-22,62.36,1
2024-04-23,2024-04-29,61.8,0
2024-04-30,2024-05-06,61.8,0
2024-05-07,2024-05-13,62.56,0
2024-05-14,2024-05-20,62.56,0
2024-05-21,2024-05-27,62.88,0
2024-05-28,2024-06-03,62.88,0
2024-06-04,2024-06-10,62.89,1
2024-06-11,2024-06-17,62.89,0
2024-06-18,2024-06-24,62.75,0
2024-06-25,2024-07-01,62.53,1
2024-07-02,2024-07-08,62.53,0
2024-07-09,2024-07-15,62.53,0
2024-07-16,2024-07-22,62.53,0
2024-07-23,2024-07-29,62.53,0
2024-07-30,2024-08-05,62.53,0
2024-08-06,2024-08-12,62.53,0
2024-08-13,2024-08-19,63.53,1
2024-08-20,2024-08-26,62.68,0
2024-08-27,2024-09-02,63.96,0
2024-09-03,2024-09-09,63.25,1
2024-09-10,2024-09-16,61.8,0
2024-09-17,2024-09-23,61.8,0
2024-09-24,2024-09-30,61.8,0
2024-10-01,2024-10-07,61.8,0
2024-10-08,2024-10-14,61.8,0
2024-10-15,2024-10-21,60.5,0
2024-10-22,2024-10-28,60.5,0
2024-10-29,2024-11-04,60.5,0
2024-11-05,2024-11-11,60.5,0
2024-11-12,2024-11-18,60.6,1
2024-11-19,2024-11-25,59.24,1
2024-11-26,2024-12-02,58.49,0
