start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,9.92,2
2023-12-07,2023-12-13,9.92,1
2023-12-19,2023-12-25,8.36,0
2023-12-26,2024-01-01,8.36,0
2024-01-02,2024-01-08,8.4,0
2024-01-09,2024-01-15,8.4,0
2024-01-16,2024-01-22,8.4,0
2024-01-23,2024-01-29,8.4,0
2024-01-30,2024-02-05,8.4,0
2024-02-06,2024-02-12,8.4,0
2024-02-13,2024-02-19,8.39,0
2024-02-20,2024-02-26,8.31,1
2024-02-27,2024-03-04,8.16,1
2024-03-05,2024-03-11,7.98,2
2024-03-12,2024-03-18,7.98,0
2024-03-19,2024-03-25,8.1,1
2024-03-26,2024-04-01,7.91,0
2024-04-02,2024-04-08,7.76,1
2024-04-09,2024-04-15,7.47,0
2024-04-16,2024-04-22,7.52,0
2024-04-23,2024-04-29,7.52,0
2024-04-30,2024-05-06,7.86,0
2024-05-07,2024-05-13,7.75,1
2024-05-14,2024-05-20,7.75,0
2024-05-21,2024-05-27,7.5,0
2024-05-28,2024-06-03,7.5,0
2024-06-04,2024-06-10,7.5,0
2024-06-11,2024-06-17,7.39,0
2024-06-18,2024-06-24,7.39,0
2024-06-25,2024-07-01,7.39,0
2024-07-02,2024-07-08,7.39,0
2024-07-09,2024-07-15,7.39,0
2024-07-16,2024-07-22,7.94,1
2024-07-23,2024-07-29,7.94,0
2024-07-30,2024-08-05,7.94,0
2024-08-06,2024-08-12,7.94,0
2024-08-13,2024-08-19,8.33,1
2024-08-20,2024-08-26,8.35,0
2024-08-27,2024-09-02,8.94,0
2024-09-03,2024-09-09,9.18,1
2024-09-10,2024-09-16,8.96,0
2024-09-17,2024-09-23,9.09,0
2024-09-24,2024-09-30,9.62,0
2024-10-01,2024-10-07,9.62,0
2024-10-08,2024-10-14,9.43,1
2024-10-15,2024-10-21,9.43,0
2024-10-22,2024-10-28,9.43,0
2024-10-29,2024-11-04,9.43,0
2024-11-05,2024-11-11,10.04,0
2024-11-12,2024-11-18,10.04,0
2024-11-19,2024-11-25,10.04,0
2024-11-26,2024-12-02,10.02,0
