id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
dp3-1,Ampharos,Rare Holo,Secret Wonders,Diamond & Pearl,14.02,11.39,2007/11/01,[181],Kouki Saitou,#41
ex12-1,Aerodactyl,Rare Holo,Legend Maker,EX,21.21,32.65,2006/02/01,[142],Hajime Kusajima,Non référencé
ex7-1,Azumarill,Rare Holo,Team Rocket Returns,EX,24.91,15.29,2004/11/01,[184],Sumiyoshi Kizuki,Non référencé
sm9-1,Celebi & Venusaur-GX,Rare Holo GX,Team Up,Sun & Moon,11.69,,2019/02/01,"[3, 251]",Mitsuhiro Arita,#84
pl1-2,Blastoise,Rare Holo,Platinum,Platinum,20.11,12.34,2009/02/11,[9],Kagemaru Himeno,#106
ex3-2,Altaria,Rare Holo,Dragon,EX,19.91,9.76,2003/11/24,[334],Atsuko Nishida,#105
sm12-1,Venusaur & Snivy-GX,Rare Holo GX,Cosmic Eclipse,Sun & Moon,7.48,,2019/11/01,"[3, 495]",Mitsuhiro Arita,#104
pop7-1,Ampharos,Rare,POP Series 7,POP,9.74,,2008/03/01,[181],Kouki Saitou,#41
base4-3,Chansey,Rare Holo,Base Set 2,Base,10.75,,2000/02/24,[113],Ken Sugimori,Non référencé
ex7-3,Dark Crobat,Rare Holo,Team Rocket Returns,EX,19.06,22.93,2004/11/01,[169],Kyoko Koizumi,#74
dp3-3,Charizard,Rare Holo,Secret Wonders,Diamond & Pearl,126.79,115.0,2007/11/01,[6],Daisuke Ito,#4
base1-1,Alakazam,Rare Holo,Base,Base,52.04,,1999/01/09,[65],Ken Sugimori,Non référencé
ex8-1,Altaria,Rare Holo,Deoxys,EX,22.66,26.97,2005/02/01,[334],Kyoko Umemoto,#105
pop5-1,Ho-Oh,Rare,POP Series 5,POP,15.0,,2007/03/01,[250],Mitsuhiro Arita,#96
base4-1,Alakazam,Rare Holo,Base Set 2,Base,28.24,,2000/02/24,[65],Ken Sugimori,Non référencé
ex11-1,Beedrill δ,Rare Holo,Delta Species,EX,20.74,22.07,2005/10/31,[15],Masakazu Fukuda,Non référencé
