start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,16.47,3
2023-12-12,2023-12-18,17.29,1
2023-12-19,2023-12-25,17.44,1
2023-12-26,2024-01-01,17.64,2
2024-01-02,2024-01-08,18.52,4
2024-01-09,2024-01-15,18.91,2
2024-01-16,2024-01-22,19.26,2
2024-01-23,2024-01-29,19.38,2
2024-01-30,2024-02-05,19.44,4
2024-02-06,2024-02-12,19.33,1
2024-02-13,2024-02-19,19.55,1
2024-02-20,2024-02-26,19.89,2
2024-02-27,2024-03-04,20.15,1
2024-03-05,2024-03-11,18.05,5
2024-03-12,2024-03-18,18.19,1
2024-03-19,2024-03-25,18.08,1
2024-03-26,2024-04-01,17.5,4
2024-04-02,2024-04-08,17.38,3
2024-04-09,2024-04-15,17.38,0
2024-04-16,2024-04-22,17.29,1
2024-04-23,2024-04-29,17.42,1
2024-04-30,2024-05-06,17.36,4
2024-05-07,2024-05-13,17.36,0
2024-05-14,2024-05-20,17.36,0
2024-05-21,2024-05-27,17.38,1
2024-05-28,2024-06-03,17.95,1
2024-06-04,2024-06-10,17.95,0
2024-06-11,2024-06-17,17.95,0
2024-06-18,2024-06-24,17.59,2
2024-06-25,2024-07-01,17.68,0
2024-07-02,2024-07-08,17.65,2
2024-07-09,2024-07-15,18.05,2
2024-07-16,2024-07-22,18.2,1
2024-07-23,2024-07-29,18.2,0
2024-07-30,2024-08-05,18.18,1
2024-08-06,2024-08-12,19.0,3
2024-08-13,2024-08-19,18.93,1
2024-08-20,2024-08-26,19.14,2
2024-08-27,2024-09-02,19.07,1
2024-09-03,2024-09-09,19.15,2
2024-09-10,2024-09-16,19.65,1
2024-09-17,2024-09-23,19.71,0
2024-09-24,2024-09-30,19.63,2
2024-10-01,2024-10-07,19.63,0
2024-10-08,2024-10-14,19.74,3
2024-10-15,2024-10-21,19.49,4
2024-10-22,2024-10-28,19.92,1
2024-10-29,2024-11-04,19.91,3
2024-11-05,2024-11-11,20.11,4
2024-11-12,2024-11-18,20.18,3
2024-11-19,2024-11-25,20.21,2
2024-11-26,2024-12-02,19.94,3
