start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,23.17,2
2023-12-12,2023-12-18,22.55,2
2023-12-19,2023-12-25,21.62,5
2023-12-26,2024-01-01,21.62,0
2024-01-02,2024-01-08,21.62,0
2024-01-09,2024-01-15,21.64,2
2024-01-16,2024-01-22,21.84,1
2024-01-23,2024-01-29,21.55,2
2024-01-30,2024-02-05,21.24,3
2024-02-06,2024-02-12,21.24,0
2024-02-13,2024-02-19,22.04,2
2024-02-20,2024-02-26,22.14,3
2024-02-27,2024-03-04,22.46,1
2024-03-05,2024-03-11,22.46,0
2024-03-12,2024-03-18,22.46,0
2024-03-19,2024-03-25,22.54,0
2024-03-26,2024-04-01,23.7,2
2024-04-02,2024-04-08,24.33,2
2024-04-09,2024-04-15,24.33,0
2024-04-16,2024-04-22,24.17,2
2024-04-23,2024-04-29,24.17,0
2024-04-30,2024-05-06,23.84,3
2024-05-07,2024-05-13,23.64,1
2024-05-14,2024-05-20,23.04,1
2024-05-21,2024-05-27,23.04,0
2024-05-28,2024-06-03,23.14,1
2024-06-04,2024-06-10,22.98,1
2024-06-11,2024-06-17,23.06,3
2024-06-18,2024-06-24,23.16,1
2024-06-25,2024-07-01,23.24,1
2024-07-02,2024-07-08,23.4,1
2024-07-09,2024-07-15,22.74,1
2024-07-16,2024-07-22,22.74,1
2024-07-23,2024-07-29,22.74,0
2024-07-30,2024-08-05,20.95,6
2024-08-06,2024-08-12,20.28,3
2024-08-13,2024-08-19,20.28,0
2024-08-20,2024-08-26,20.14,2
2024-08-27,2024-09-02,20.0,1
2024-09-03,2024-09-09,20.61,2
2024-09-10,2024-09-16,20.61,1
2024-09-17,2024-09-23,20.61,1
2024-09-24,2024-09-30,20.61,0
2024-10-01,2024-10-07,20.61,0
2024-10-08,2024-10-14,20.72,2
2024-10-15,2024-10-21,21.08,5
2024-10-22,2024-10-28,21.4,2
2024-10-29,2024-11-04,21.67,4
2024-11-05,2024-11-11,22.65,4
2024-11-12,2024-11-18,22.75,1
2024-11-19,2024-11-25,23.05,2
2024-11-26,2024-12-02,23.21,4
