start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,34.32,0
2023-12-12,2023-12-18,34.46,1
2023-12-19,2023-12-25,34.49,2
2023-12-26,2024-01-01,34.61,0
2024-01-02,2024-01-08,34.61,0
2024-01-09,2024-01-15,34.71,1
2024-01-16,2024-01-22,34.71,0
2024-01-23,2024-01-29,34.98,1
2024-01-30,2024-02-05,35.38,1
2024-02-06,2024-02-12,34.81,0
2024-02-13,2024-02-19,34.79,0
2024-02-20,2024-02-26,34.79,0
2024-02-27,2024-03-04,35.01,1
2024-03-05,2024-03-11,35.3,1
2024-03-12,2024-03-18,35.3,0
2024-03-19,2024-03-25,35.42,1
2024-03-26,2024-04-01,35.45,0
2024-04-02,2024-04-08,35.45,0
2024-04-09,2024-04-15,35.55,1
2024-04-16,2024-04-22,35.55,0
2024-04-23,2024-04-29,35.71,0
2024-04-30,2024-05-06,36.05,0
2024-05-07,2024-05-13,36.87,3
2024-05-14,2024-05-20,37.62,1
2024-05-21,2024-05-27,37.62,0
2024-05-28,2024-06-03,37.84,0
2024-06-04,2024-06-10,37.84,1
2024-06-11,2024-06-17,37.11,2
2024-06-18,2024-06-24,37.19,1
2024-06-25,2024-07-01,37.19,0
2024-07-02,2024-07-08,37.19,1
2024-07-09,2024-07-15,37.11,0
2024-07-16,2024-07-22,37.13,0
2024-07-23,2024-07-29,37.0,1
2024-07-30,2024-08-05,37.21,3
2024-08-06,2024-08-12,37.21,0
2024-08-13,2024-08-19,37.21,0
2024-08-20,2024-08-26,37.21,1
2024-08-27,2024-09-02,37.15,0
2024-09-03,2024-09-09,37.28,1
2024-09-10,2024-09-16,37.28,0
2024-09-17,2024-09-23,35.41,2
2024-09-24,2024-09-30,35.41,0
2024-10-01,2024-10-07,35.41,0
2024-10-08,2024-10-14,35.4,1
2024-10-15,2024-10-21,35.56,1
2024-10-22,2024-10-28,35.72,1
2024-10-29,2024-11-04,36.05,2
2024-11-05,2024-11-11,35.94,1
2024-11-12,2024-11-18,35.76,1
2024-11-19,2024-11-25,35.6,4
2024-11-26,2024-12-02,35.6,0
