start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,98.36,0
2023-12-12,2023-12-18,99.04,2
2023-12-19,2023-12-25,98.58,1
2023-12-26,2024-01-01,98.58,0
2024-01-02,2024-01-08,95.85,1
2024-01-09,2024-01-15,96.03,3
2024-01-16,2024-01-22,95.24,2
2024-01-23,2024-01-29,95.04,3
2024-01-30,2024-02-05,95.04,0
2024-02-06,2024-02-12,99.52,3
2024-02-13,2024-02-19,99.6,1
2024-02-20,2024-02-26,100.79,1
2024-02-27,2024-03-04,106.51,2
2024-03-05,2024-03-11,106.51,0
2024-03-12,2024-03-18,106.51,0
2024-03-19,2024-03-25,107.23,2
2024-03-26,2024-04-01,105.89,4
2024-04-02,2024-04-08,105.89,0
2024-04-09,2024-04-15,105.89,0
2024-04-16,2024-04-22,106.02,1
2024-04-23,2024-04-29,106.02,0
2024-04-30,2024-05-06,106.02,0
2024-05-07,2024-05-13,106.18,4
2024-05-14,2024-05-20,107.38,1
2024-05-21,2024-05-27,107.38,0
2024-05-28,2024-06-03,106.38,1
2024-06-04,2024-06-10,107.78,3
2024-06-11,2024-06-17,107.55,1
2024-06-18,2024-06-24,105.49,1
2024-06-25,2024-07-01,105.49,0
2024-07-02,2024-07-08,104.14,2
2024-07-09,2024-07-15,106.0,0
2024-07-16,2024-07-22,106.0,0
2024-07-23,2024-07-29,105.18,2
2024-07-30,2024-08-05,103.64,2
2024-08-06,2024-08-12,103.64,0
2024-08-13,2024-08-19,104.13,4
2024-08-20,2024-08-26,102.45,0
2024-08-27,2024-09-02,103.5,2
2024-09-03,2024-09-09,101.06,2
2024-09-10,2024-09-16,101.1,1
2024-09-17,2024-09-23,101.1,0
2024-09-24,2024-09-30,102.15,1
2024-10-01,2024-10-07,101.07,2
2024-10-08,2024-10-14,101.07,0
2024-10-15,2024-10-21,100.47,2
2024-10-22,2024-10-28,100.87,1
2024-10-29,2024-11-04,100.87,0
2024-11-05,2024-11-11,100.79,1
2024-11-12,2024-11-18,101.57,3
2024-11-19,2024-11-25,99.2,5
2024-11-26,2024-12-02,98.31,4
