start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,12.83,1
2023-12-10,2023-12-16,12.83,0
2023-12-19,2023-12-25,10.95,0
2023-12-26,2024-01-01,10.91,1
2024-01-02,2024-01-08,10.68,1
2024-01-09,2024-01-15,9.79,1
2024-01-16,2024-01-22,10.48,0
2024-01-23,2024-01-29,10.48,0
2024-01-30,2024-02-05,10.48,0
2024-02-06,2024-02-12,10.29,3
2024-02-13,2024-02-19,10.29,0
2024-02-20,2024-02-26,10.06,0
2024-02-27,2024-03-04,9.98,3
2024-03-05,2024-03-11,9.92,7
2024-03-12,2024-03-18,10.74,20
2024-03-19,2024-03-25,10.58,0
2024-03-26,2024-04-01,10.58,0
2024-04-02,2024-04-08,10.51,0
2024-04-09,2024-04-15,11.04,0
2024-04-16,2024-04-22,11.48,1
2024-04-23,2024-04-29,11.49,0
2024-04-30,2024-05-06,11.76,1
2024-05-07,2024-05-13,12.29,4
2024-05-14,2024-05-20,12.29,0
2024-05-21,2024-05-27,12.29,0
2024-05-28,2024-06-03,12.29,0
2024-06-04,2024-06-10,12.29,0
2024-06-11,2024-06-17,12.29,0
2024-06-18,2024-06-24,12.29,0
2024-06-25,2024-07-01,12.36,1
2024-07-02,2024-07-08,12.6,1
2024-07-09,2024-07-15,12.79,0
2024-07-16,2024-07-22,12.84,1
2024-07-23,2024-07-29,12.85,1
2024-07-30,2024-08-05,12.85,2
2024-08-06,2024-08-12,13.07,1
2024-08-13,2024-08-19,13.06,1
2024-08-20,2024-08-26,13.35,1
2024-08-27,2024-09-02,13.73,7
2024-09-03,2024-09-09,14.14,1
2024-09-10,2024-09-16,14.28,0
2024-09-17,2024-09-23,13.82,4
2024-09-24,2024-09-30,13.74,1
2024-10-01,2024-10-07,13.68,1
2024-10-08,2024-10-14,13.68,0
2024-10-15,2024-10-21,13.33,1
2024-10-22,2024-10-28,13.28,1
2024-10-29,2024-11-04,12.78,2
2024-11-05,2024-11-11,12.48,2
2024-11-12,2024-11-18,12.35,2
2024-11-19,2024-11-25,12.35,0
2024-11-26,2024-12-02,12.35,0
