start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,10.21,3
2023-12-08,2023-12-14,10.21,1
2023-12-19,2023-12-25,7.95,3
2023-12-26,2024-01-01,8.05,5
2024-01-02,2024-01-08,8.1,3
2024-01-09,2024-01-15,8.18,3
2024-01-16,2024-01-22,8.11,3
2024-01-23,2024-01-29,8.13,3
2024-01-30,2024-02-05,8.31,5
2024-02-06,2024-02-12,8.38,4
2024-02-13,2024-02-19,8.47,3
2024-02-20,2024-02-26,8.23,5
2024-02-27,2024-03-04,8.25,4
2024-03-05,2024-03-11,8.34,3
2024-03-12,2024-03-18,8.14,3
2024-03-19,2024-03-25,8.16,2
2024-03-26,2024-04-01,8.15,3
2024-04-02,2024-04-08,8.19,2
2024-04-09,2024-04-15,8.3,1
2024-04-16,2024-04-22,8.75,6
2024-04-23,2024-04-29,8.98,3
2024-04-30,2024-05-06,9.17,2
2024-05-07,2024-05-13,9.5,5
2024-05-14,2024-05-20,9.8,5
2024-05-21,2024-05-27,10.02,2
2024-05-28,2024-06-03,10.13,2
2024-06-04,2024-06-10,10.15,3
2024-06-11,2024-06-17,10.08,2
2024-06-18,2024-06-24,10.38,1
2024-06-25,2024-07-01,10.72,5
2024-07-02,2024-07-08,10.67,4
2024-07-09,2024-07-15,10.11,4
2024-07-16,2024-07-22,9.93,4
2024-07-23,2024-07-29,9.88,3
2024-07-30,2024-08-05,9.86,1
2024-08-06,2024-08-12,9.84,1
2024-08-13,2024-08-19,9.66,2
2024-08-20,2024-08-26,9.71,2
2024-08-27,2024-09-02,9.81,2
2024-09-03,2024-09-09,9.28,3
2024-09-10,2024-09-16,9.29,6
2024-09-17,2024-09-23,9.55,3
2024-09-24,2024-09-30,9.36,4
2024-10-01,2024-10-07,9.1,3
2024-10-08,2024-10-14,8.73,7
2024-10-15,2024-10-21,8.75,4
2024-10-22,2024-10-28,9.23,6
2024-10-29,2024-11-04,9.18,4
2024-11-05,2024-11-11,9.67,3
2024-11-12,2024-11-18,9.68,5
2024-11-19,2024-11-25,9.93,4
2024-11-26,2024-12-02,10.07,3
