start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,8.65,0
2023-12-12,2023-12-18,6.93,4
2023-12-19,2023-12-25,6.24,3
2023-12-26,2024-01-01,5.56,8
2024-01-02,2024-01-08,5.56,2
2024-01-09,2024-01-15,5.62,0
2024-01-16,2024-01-22,5.59,2
2024-01-23,2024-01-29,5.54,7
2024-01-30,2024-02-05,5.55,0
2024-02-06,2024-02-12,5.55,0
2024-02-13,2024-02-19,5.58,2
2024-02-20,2024-02-26,5.37,3
2024-02-27,2024-03-04,5.33,2
2024-03-05,2024-03-11,5.45,1
2024-03-12,2024-03-18,5.45,0
2024-03-19,2024-03-25,5.47,1
2024-03-26,2024-04-01,5.44,1
2024-04-02,2024-04-08,5.42,2
2024-04-09,2024-04-15,5.47,1
2024-04-16,2024-04-22,5.6,2
2024-04-23,2024-04-29,5.6,0
2024-04-30,2024-05-06,5.78,4
2024-05-07,2024-05-13,5.85,1
2024-05-14,2024-05-20,6.0,4
2024-05-21,2024-05-27,6.13,3
2024-05-28,2024-06-03,6.22,1
2024-06-04,2024-06-10,6.34,1
2024-06-11,2024-06-17,6.35,1
2024-06-18,2024-06-24,6.5,2
2024-06-25,2024-07-01,6.41,2
2024-07-02,2024-07-08,6.63,1
2024-07-09,2024-07-15,6.72,3
2024-07-16,2024-07-22,6.6,3
2024-07-23,2024-07-29,6.81,3
2024-07-30,2024-08-05,6.82,2
2024-08-06,2024-08-12,6.88,2
2024-08-13,2024-08-19,6.91,2
2024-08-20,2024-08-26,6.92,1
2024-08-27,2024-09-02,6.9,3
2024-09-03,2024-09-09,6.82,5
2024-09-10,2024-09-16,7.06,3
2024-09-17,2024-09-23,7.09,0
2024-09-24,2024-09-30,7.18,4
2024-10-01,2024-10-07,7.31,1
2024-10-08,2024-10-14,7.2,3
2024-10-15,2024-10-21,7.09,0
2024-10-22,2024-10-28,7.17,1
2024-10-29,2024-11-04,7.09,1
2024-11-05,2024-11-11,7.11,2
2024-11-12,2024-11-18,7.08,2
2024-11-19,2024-11-25,7.13,9
2024-11-26,2024-12-02,7.25,1
