start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,19.48,2
2023-12-07,2023-12-13,19.48,1
2023-12-19,2023-12-25,17.91,1
2023-12-26,2024-01-01,18.06,0
2024-01-02,2024-01-08,18.46,1
2024-01-09,2024-01-15,18.1,1
2024-01-16,2024-01-22,18.36,0
2024-01-23,2024-01-29,18.74,1
2024-01-30,2024-02-05,18.95,0
2024-02-06,2024-02-12,19.11,0
2024-02-13,2024-02-19,19.49,1
2024-02-20,2024-02-26,19.49,0
2024-02-27,2024-03-04,19.63,2
2024-03-05,2024-03-11,19.77,1
2024-03-12,2024-03-18,19.77,0
2024-03-19,2024-03-25,19.77,0
2024-03-26,2024-04-01,19.58,0
2024-04-02,2024-04-08,19.81,2
2024-04-09,2024-04-15,19.81,0
2024-04-16,2024-04-22,19.99,0
2024-04-23,2024-04-29,19.66,1
2024-04-30,2024-05-06,19.66,0
2024-05-07,2024-05-13,19.67,1
2024-05-14,2024-05-20,19.84,0
2024-05-21,2024-05-27,19.86,0
2024-05-28,2024-06-03,20.01,1
2024-06-04,2024-06-10,20.01,0
2024-06-11,2024-06-17,20.11,3
2024-06-18,2024-06-24,20.11,0
2024-06-25,2024-07-01,20.11,0
2024-07-02,2024-07-08,20.03,0
2024-07-09,2024-07-15,20.71,1
2024-07-16,2024-07-22,20.65,1
2024-07-23,2024-07-29,20.32,0
2024-07-30,2024-08-05,20.43,1
2024-08-06,2024-08-12,20.37,2
2024-08-13,2024-08-19,20.37,0
2024-08-20,2024-08-26,19.72,1
2024-08-27,2024-09-02,19.61,0
2024-09-03,2024-09-09,18.71,5
2024-09-10,2024-09-16,18.84,6
2024-09-17,2024-09-23,18.84,0
2024-09-24,2024-09-30,18.83,0
2024-10-01,2024-10-07,18.56,0
2024-10-08,2024-10-14,18.54,2
2024-10-15,2024-10-21,18.54,0
2024-10-22,2024-10-28,18.99,1
2024-10-29,2024-11-04,18.99,0
2024-11-05,2024-11-11,18.97,2
2024-11-12,2024-11-18,18.97,0
2024-11-19,2024-11-25,18.9,3
2024-11-26,2024-12-02,18.9,0
