start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,27.26,42
2023-12-10,2023-12-16,29.58,10
2023-12-19,2023-12-25,30.65,36
2023-12-26,2024-01-01,32.08,26
2024-01-02,2024-01-08,32.07,21
2024-01-09,2024-01-15,28.28,28
2024-01-16,2024-01-22,27.74,21
2024-01-23,2024-01-29,26.26,33
2024-01-30,2024-02-05,25.84,29
2024-02-06,2024-02-12,25.81,22
2024-02-13,2024-02-19,26.63,29
2024-02-20,2024-02-26,27.29,25
2024-02-27,2024-03-04,26.43,28
2024-03-05,2024-03-11,25.84,25
2024-03-12,2024-03-18,26.09,16
2024-03-19,2024-03-25,23.48,19
2024-03-26,2024-04-01,24.21,19
2024-04-02,2024-04-08,25.91,58
2024-04-09,2024-04-15,24.08,20
2024-04-16,2024-04-22,24.27,21
2024-04-23,2024-04-29,22.92,21
2024-04-30,2024-05-06,22.78,23
2024-05-07,2024-05-13,23.16,40
2024-05-14,2024-05-20,25.35,33
2024-05-21,2024-05-27,24.7,29
2024-05-28,2024-06-03,24.94,26
2024-06-04,2024-06-10,25.06,11
2024-06-11,2024-06-17,24.57,26
2024-06-18,2024-06-24,23.6,13
2024-06-25,2024-07-01,22.52,14
2024-07-02,2024-07-08,20.73,35
2024-07-09,2024-07-15,19.07,29
2024-07-16,2024-07-22,19.63,45
2024-07-23,2024-07-29,21.32,18
2024-07-30,2024-08-05,22.08,28
2024-08-06,2024-08-12,22.34,18
2024-08-13,2024-08-19,20.96,27
2024-08-20,2024-08-26,20.25,19
2024-08-27,2024-09-02,20.27,21
2024-09-03,2024-09-09,20.17,25
2024-09-10,2024-09-16,20.63,32
2024-09-17,2024-09-23,20.34,13
2024-09-24,2024-09-30,20.85,23
2024-10-01,2024-10-07,20.27,33
2024-10-08,2024-10-14,21.16,25
2024-10-15,2024-10-21,21.14,36
2024-10-22,2024-10-28,17.37,23
2024-10-29,2024-11-04,19.12,32
2024-11-05,2024-11-11,19.67,37
2024-11-12,2024-11-18,21.23,33
2024-11-19,2024-11-25,24.19,95
2024-11-26,2024-12-02,25.71,34
