start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,8.76,161
2023-12-10,2023-12-16,9.13,9
2023-12-12,2023-12-18,9.13,1
2023-12-26,2024-01-01,6.13,71
2024-01-02,2024-01-08,5.31,98
2024-01-09,2024-01-15,5.4,126
2024-01-16,2024-01-22,4.96,90
2024-01-23,2024-01-29,5.27,132
2024-01-30,2024-02-05,5.88,101
2024-02-06,2024-02-12,4.78,98
2024-02-13,2024-02-19,4.92,143
2024-02-20,2024-02-26,4.58,51
2024-02-27,2024-03-04,5.03,127
2024-03-05,2024-03-11,4.63,51
2024-03-12,2024-03-18,4.49,105
2024-03-19,2024-03-25,4.47,77
2024-03-26,2024-04-01,4.23,97
2024-04-02,2024-04-08,4.66,80
2024-04-09,2024-04-15,4.79,63
2024-04-16,2024-04-22,4.83,68
2024-04-23,2024-04-29,3.67,78
2024-04-30,2024-05-06,4.23,122
2024-05-07,2024-05-13,5.24,172
2024-05-14,2024-05-20,5.06,116
2024-05-21,2024-05-27,5.6,88
2024-05-28,2024-06-03,4.77,93
2024-06-04,2024-06-10,5.81,83
2024-06-11,2024-06-17,5.13,77
2024-06-18,2024-06-24,4.91,65
2024-06-25,2024-07-01,5.5,72
2024-07-02,2024-07-08,5.18,80
2024-07-09,2024-07-15,5.14,87
2024-07-16,2024-07-22,5.51,202
2024-07-23,2024-07-29,5.67,82
2024-07-30,2024-08-05,5.87,111
2024-08-06,2024-08-12,6.15,149
2024-08-13,2024-08-19,5.22,73
2024-08-20,2024-08-26,5.57,117
2024-08-27,2024-09-02,5.49,90
2024-09-03,2024-09-09,5.24,100
2024-09-10,2024-09-16,5.96,99
2024-09-17,2024-09-23,6.11,171
2024-09-24,2024-09-30,6.24,107
2024-10-01,2024-10-07,5.97,96
2024-10-08,2024-10-14,6.13,138
2024-10-15,2024-10-21,6.8,79
2024-10-22,2024-10-28,6.33,69
2024-10-29,2024-11-04,6.34,80
2024-11-05,2024-11-11,6.22,70
2024-11-12,2024-11-18,6.92,83
2024-11-19,2024-11-25,7.92,179
2024-11-26,2024-12-02,8.31,89
