start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,23.52,0
2023-12-12,2023-12-18,23.22,2
2023-12-19,2023-12-25,23.22,0
2023-12-26,2024-01-01,21.76,1
2024-01-02,2024-01-08,21.76,0
2024-01-09,2024-01-15,21.76,0
2024-01-16,2024-01-22,21.76,0
2024-01-23,2024-01-29,21.76,0
2024-01-30,2024-02-05,21.76,0
2024-02-06,2024-02-12,22.25,1
2024-02-13,2024-02-19,22.25,0
2024-02-20,2024-02-26,22.12,0
2024-02-27,2024-03-04,21.86,1
2024-03-05,2024-03-11,21.86,0
2024-03-12,2024-03-18,21.86,0
2024-03-19,2024-03-25,21.65,0
2024-03-26,2024-04-01,21.86,0
2024-04-02,2024-04-08,21.65,1
2024-04-09,2024-04-15,21.65,0
2024-04-16,2024-04-22,21.65,0
2024-04-23,2024-04-29,21.32,0
2024-04-30,2024-05-06,21.32,0
2024-05-07,2024-05-13,21.52,0
2024-05-14,2024-05-20,21.52,0
2024-05-21,2024-05-27,20.79,0
2024-05-28,2024-06-03,20.7,2
2024-06-04,2024-06-10,20.7,0
2024-06-11,2024-06-17,19.93,0
2024-06-18,2024-06-24,19.93,0
2024-06-25,2024-07-01,21.67,0
2024-07-02,2024-07-08,21.67,0
2024-07-09,2024-07-15,21.67,0
2024-07-16,2024-07-22,20.93,1
2024-07-23,2024-07-29,20.93,0
2024-07-30,2024-08-05,19.79,1
2024-08-06,2024-08-12,19.58,1
2024-08-13,2024-08-19,19.58,0
2024-08-20,2024-08-26,19.47,1
2024-08-27,2024-09-02,20.33,1
2024-09-03,2024-09-09,20.33,0
2024-09-10,2024-09-16,20.33,0
2024-09-17,2024-09-23,20.33,0
2024-09-24,2024-09-30,20.33,0
2024-10-01,2024-10-07,20.33,0
2024-10-08,2024-10-14,20.33,0
2024-10-15,2024-10-21,20.63,2
2024-10-22,2024-10-28,20.67,2
2024-10-29,2024-11-04,20.51,1
2024-11-05,2024-11-11,20.39,1
2024-11-12,2024-11-18,20.29,1
2024-11-19,2024-11-25,20.34,2
2024-11-26,2024-12-02,20.32,1
