start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,14.63,0
2023-12-12,2023-12-18,14.63,0
2023-12-19,2023-12-25,14.48,1
2023-12-26,2024-01-01,14.47,0
2024-01-02,2024-01-08,14.82,1
2024-01-09,2024-01-15,15.16,0
2024-01-16,2024-01-22,15.45,2
2024-01-23,2024-01-29,16.11,1
2024-01-30,2024-02-05,15.97,1
2024-02-06,2024-02-12,15.97,0
2024-02-13,2024-02-19,15.34,2
2024-02-20,2024-02-26,15.32,1
2024-02-27,2024-03-04,15.3,1
2024-03-05,2024-03-11,15.15,0
2024-03-12,2024-03-18,15.25,0
2024-03-19,2024-03-25,15.25,0
2024-03-26,2024-04-01,15.29,1
2024-04-02,2024-04-08,15.78,0
2024-04-09,2024-04-15,15.78,0
2024-04-16,2024-04-22,15.78,1
2024-04-23,2024-04-29,15.96,0
2024-04-30,2024-05-06,15.61,2
2024-05-07,2024-05-13,15.61,0
2024-05-14,2024-05-20,15.61,1
2024-05-21,2024-05-27,15.81,0
2024-05-28,2024-06-03,15.81,0
2024-06-04,2024-06-10,16.6,1
2024-06-11,2024-06-17,17.26,2
2024-06-18,2024-06-24,18.01,1
2024-06-25,2024-07-01,18.01,0
2024-07-02,2024-07-08,17.88,0
2024-07-09,2024-07-15,17.88,1
2024-07-16,2024-07-22,18.37,0
2024-07-23,2024-07-29,18.02,0
2024-07-30,2024-08-05,17.4,1
2024-08-06,2024-08-12,17.4,0
2024-08-13,2024-08-19,17.02,1
2024-08-20,2024-08-26,16.01,2
2024-08-27,2024-09-02,16.09,0
2024-09-03,2024-09-09,16.09,0
2024-09-10,2024-09-16,16.09,0
2024-09-17,2024-09-23,16.09,0
2024-09-24,2024-09-30,15.62,1
2024-10-01,2024-10-07,15.62,0
2024-10-08,2024-10-14,15.66,1
2024-10-15,2024-10-21,15.65,0
2024-10-22,2024-10-28,15.65,0
2024-10-29,2024-11-04,16.13,0
2024-11-05,2024-11-11,16.13,0
2024-11-12,2024-11-18,16.14,2
2024-11-19,2024-11-25,16.34,2
2024-11-26,2024-12-02,16.34,0
