start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,11.25,0
2023-12-12,2023-12-18,11.25,0
2023-12-19,2023-12-25,11.36,2
2023-12-26,2024-01-01,11.36,0
2024-01-02,2024-01-08,11.3,1
2024-01-09,2024-01-15,11.44,1
2024-01-16,2024-01-22,11.44,0
2024-01-23,2024-01-29,11.72,1
2024-01-30,2024-02-05,12.02,3
2024-02-06,2024-02-12,12.02,0
2024-02-13,2024-02-19,11.99,1
2024-02-20,2024-02-26,11.88,5
2024-02-27,2024-03-04,11.96,1
2024-03-05,2024-03-11,12.16,3
2024-03-12,2024-03-18,12.05,1
2024-03-19,2024-03-25,12.05,0
2024-03-26,2024-04-01,12.05,0
2024-04-02,2024-04-08,12.05,0
2024-04-09,2024-04-15,11.51,4
2024-04-16,2024-04-22,11.51,0
2024-04-23,2024-04-29,11.67,1
2024-04-30,2024-05-06,11.67,0
2024-05-07,2024-05-13,11.66,4
2024-05-14,2024-05-20,11.84,5
2024-05-21,2024-05-27,11.84,0
2024-05-28,2024-06-03,11.72,3
2024-06-04,2024-06-10,11.99,2
2024-06-11,2024-06-17,12.14,1
2024-06-18,2024-06-24,12.26,1
2024-06-25,2024-07-01,12.26,0
2024-07-02,2024-07-08,12.26,0
2024-07-09,2024-07-15,12.26,0
2024-07-16,2024-07-22,12.26,0
2024-07-23,2024-07-29,12.26,0
2024-07-30,2024-08-05,12.21,1
2024-08-06,2024-08-12,12.26,1
2024-08-13,2024-08-19,12.23,1
2024-08-20,2024-08-26,12.2,0
2024-08-27,2024-09-02,12.12,0
2024-09-03,2024-09-09,11.9,1
2024-09-10,2024-09-16,11.89,4
2024-09-17,2024-09-23,11.89,0
2024-09-24,2024-09-30,11.76,4
2024-10-01,2024-10-07,11.76,0
2024-10-08,2024-10-14,12.61,0
2024-10-15,2024-10-21,12.53,1
2024-10-22,2024-10-28,12.3,2
2024-10-29,2024-11-04,12.3,0
2024-11-05,2024-11-11,12.29,1
2024-11-12,2024-11-18,12.13,0
2024-11-19,2024-11-25,11.76,6
2024-11-26,2024-12-02,11.56,3
