start_date,end_date,price,quantity_sold
2023-12-02,2023-12-08,5.26,1
2023-12-03,2023-12-09,5.26,0
2023-12-19,2023-12-25,7.41,2
2023-12-26,2024-01-01,7.31,1
2024-01-02,2024-01-08,7.22,1
2024-01-09,2024-01-15,7.22,0
2024-01-16,2024-01-22,7.22,0
2024-01-23,2024-01-29,7.22,0
2024-01-30,2024-02-05,7.22,0
2024-02-06,2024-02-12,7.16,1
2024-02-13,2024-02-19,7.1,1
2024-02-20,2024-02-26,7.1,0
2024-02-27,2024-03-04,7.1,0
2024-03-05,2024-03-11,6.84,2
2024-03-12,2024-03-18,6.84,0
2024-03-19,2024-03-25,6.68,0
2024-03-26,2024-04-01,6.63,2
2024-04-02,2024-04-08,6.63,0
2024-04-09,2024-04-15,6.63,0
2024-04-16,2024-04-22,6.49,0
2024-04-23,2024-04-29,6.49,0
2024-04-30,2024-05-06,6.49,0
2024-05-07,2024-05-13,6.82,0
2024-05-14,2024-05-20,6.36,0
2024-05-21,2024-05-27,6.01,0
2024-05-28,2024-06-03,5.99,1
2024-06-04,2024-06-10,5.86,1
2024-06-11,2024-06-17,5.86,0
2024-06-18,2024-06-24,5.54,1
2024-06-25,2024-07-01,5.5,0
2024-07-02,2024-07-08,5.45,0
2024-07-09,2024-07-15,5.45,0
2024-07-16,2024-07-22,5.45,0
2024-07-23,2024-07-29,5.35,1
2024-07-30,2024-08-05,5.35,0
2024-08-06,2024-08-12,5.15,0
2024-08-13,2024-08-19,5.15,0
2024-08-20,2024-08-26,5.15,0
2024-08-27,2024-09-02,5.07,0
2024-09-03,2024-09-09,5.32,0
2024-09-10,2024-09-16,5.32,0
2024-09-17,2024-09-23,4.56,0
2024-09-24,2024-09-30,4.89,0
2024-10-01,2024-10-07,5.28,1
2024-10-08,2024-10-14,5.14,1
2024-10-15,2024-10-21,5.14,0
2024-10-22,2024-10-28,5.14,0
2024-10-29,2024-11-04,5.4,1
2024-11-05,2024-11-11,5.09,2
2024-11-12,2024-11-18,5.09,0
2024-11-19,2024-11-25,5.28,1
2024-11-26,2024-12-02,5.26,2
