start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,11.7,0
2023-12-12,2023-12-18,11.5,1
2023-12-19,2023-12-25,10.82,2
2023-12-26,2024-01-01,10.86,0
2024-01-02,2024-01-08,10.45,2
2024-01-09,2024-01-15,10.45,0
2024-01-16,2024-01-22,10.01,1
2024-01-23,2024-01-29,10.01,0
2024-01-30,2024-02-05,10.01,0
2024-02-06,2024-02-12,9.43,1
2024-02-13,2024-02-19,9.43,0
2024-02-20,2024-02-26,9.43,0
2024-02-27,2024-03-04,8.58,2
2024-03-05,2024-03-11,8.58,0
2024-03-12,2024-03-18,8.58,0
2024-03-19,2024-03-25,8.03,1
2024-03-26,2024-04-01,8.03,0
2024-04-02,2024-04-08,7.6,3
2024-04-09,2024-04-15,7.6,0
2024-04-16,2024-04-22,7.39,1
2024-04-23,2024-04-29,6.85,1
2024-04-30,2024-05-06,6.79,1
2024-05-07,2024-05-13,6.81,1
2024-05-14,2024-05-20,6.81,0
2024-05-21,2024-05-27,6.99,1
2024-05-28,2024-06-03,7.43,0
2024-06-04,2024-06-10,7.43,0
2024-06-11,2024-06-17,6.8,2
2024-06-18,2024-06-24,6.61,0
2024-06-25,2024-07-01,6.61,0
2024-07-02,2024-07-08,6.58,0
2024-07-09,2024-07-15,6.65,1
2024-07-16,2024-07-22,6.62,1
2024-07-23,2024-07-29,6.62,0
2024-07-30,2024-08-05,6.69,1
2024-08-06,2024-08-12,6.95,3
2024-08-13,2024-08-19,6.95,0
2024-08-20,2024-08-26,6.95,0
2024-08-27,2024-09-02,7.11,1
2024-09-03,2024-09-09,7.11,0
2024-09-10,2024-09-16,7.26,1
2024-09-17,2024-09-23,7.35,0
2024-09-24,2024-09-30,7.49,1
2024-10-01,2024-10-07,7.74,0
2024-10-08,2024-10-14,7.74,0
2024-10-15,2024-10-21,8.5,3
2024-10-22,2024-10-28,8.56,0
2024-10-29,2024-11-04,8.87,1
2024-11-05,2024-11-11,8.99,0
2024-11-12,2024-11-18,9.34,1
2024-11-19,2024-11-25,9.42,1
2024-11-26,2024-12-02,9.73,1
