start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,1.93,1
2023-12-12,2023-12-18,1.96,1
2023-12-19,2023-12-25,1.92,1
2023-12-26,2024-01-01,1.96,1
2024-01-02,2024-01-08,1.97,0
2024-01-09,2024-01-15,1.97,0
2024-01-16,2024-01-22,1.92,0
2024-01-23,2024-01-29,1.93,0
2024-01-30,2024-02-05,1.91,0
2024-02-06,2024-02-12,1.91,1
2024-02-13,2024-02-19,1.84,0
2024-02-20,2024-02-26,1.86,0
2024-02-27,2024-03-04,1.86,0
2024-03-05,2024-03-11,1.86,0
2024-03-12,2024-03-18,1.86,0
2024-03-19,2024-03-25,1.83,1
2024-03-26,2024-04-01,1.82,0
2024-04-02,2024-04-08,1.83,0
2024-04-09,2024-04-15,1.83,0
2024-04-16,2024-04-22,1.84,1
2024-04-23,2024-04-29,1.8,1
2024-04-30,2024-05-06,1.79,1
2024-05-07,2024-05-13,1.84,3
2024-05-14,2024-05-20,1.85,1
2024-05-21,2024-05-27,1.83,0
2024-05-28,2024-06-03,1.85,0
2024-06-04,2024-06-10,1.85,1
2024-06-11,2024-06-17,1.82,0
2024-06-18,2024-06-24,1.85,0
2024-06-25,2024-07-01,1.78,0
2024-07-02,2024-07-08,1.78,0
2024-07-09,2024-07-15,1.76,0
2024-07-16,2024-07-22,1.76,0
2024-07-23,2024-07-29,1.76,1
2024-07-30,2024-08-05,1.77,1
2024-08-06,2024-08-12,1.71,1
2024-08-13,2024-08-19,1.71,0
2024-08-20,2024-08-26,1.71,0
2024-08-27,2024-09-02,1.73,2
2024-09-03,2024-09-09,1.73,0
2024-09-10,2024-09-16,1.76,2
2024-09-17,2024-09-23,1.76,1
2024-09-24,2024-09-30,1.78,1
2024-10-01,2024-10-07,1.78,0
2024-10-08,2024-10-14,1.78,0
2024-10-15,2024-10-21,1.77,2
2024-10-22,2024-10-28,1.79,0
2024-10-29,2024-11-04,1.82,0
2024-11-05,2024-11-11,1.71,1
2024-11-12,2024-11-18,1.73,2
2024-11-19,2024-11-25,1.69,2
2024-11-26,2024-12-02,1.68,1
