start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,13.58,4
2023-12-12,2023-12-18,13.58,0
2023-12-19,2023-12-25,13.29,2
2023-12-26,2024-01-01,12.98,2
2024-01-02,2024-01-08,13.06,0
2024-01-09,2024-01-15,12.9,1
2024-01-16,2024-01-22,12.51,4
2024-01-23,2024-01-29,12.04,3
2024-01-30,2024-02-05,11.49,3
2024-02-06,2024-02-12,11.51,2
2024-02-13,2024-02-19,11.56,1
2024-02-20,2024-02-26,11.79,2
2024-02-27,2024-03-04,11.99,3
2024-03-05,2024-03-11,11.99,0
2024-03-12,2024-03-18,11.97,2
2024-03-19,2024-03-25,12.25,1
2024-03-26,2024-04-01,12.25,1
2024-04-02,2024-04-08,12.24,2
2024-04-09,2024-04-15,12.24,0
2024-04-16,2024-04-22,12.33,1
2024-04-23,2024-04-29,12.33,0
2024-04-30,2024-05-06,12.24,1
2024-05-07,2024-05-13,12.2,5
2024-05-14,2024-05-20,12.23,1
2024-05-21,2024-05-27,12.42,5
2024-05-28,2024-06-03,12.43,1
2024-06-04,2024-06-10,12.37,1
2024-06-11,2024-06-17,12.37,0
2024-06-18,2024-06-24,11.57,5
2024-06-25,2024-07-01,11.13,2
2024-07-02,2024-07-08,11.13,1
2024-07-09,2024-07-15,10.94,1
2024-07-16,2024-07-22,10.8,3
2024-07-23,2024-07-29,11.0,2
2024-07-30,2024-08-05,11.01,2
2024-08-06,2024-08-12,10.87,1
2024-08-13,2024-08-19,10.89,1
2024-08-20,2024-08-26,11.14,1
2024-08-27,2024-09-02,10.91,4
2024-09-03,2024-09-09,10.95,2
2024-09-10,2024-09-16,10.92,1
2024-09-17,2024-09-23,11.28,4
2024-09-24,2024-09-30,11.08,1
2024-10-01,2024-10-07,11.22,2
2024-10-08,2024-10-14,11.29,2
2024-10-15,2024-10-21,11.39,2
2024-10-22,2024-10-28,11.43,1
2024-10-29,2024-11-04,11.26,3
2024-11-05,2024-11-11,11.11,3
2024-11-12,2024-11-18,10.3,7
2024-11-19,2024-11-25,9.87,8
2024-11-26,2024-12-02,9.53,5
