start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,50.75,2
2023-12-12,2023-12-18,50.75,0
2023-12-19,2023-12-25,49.65,4
2023-12-26,2024-01-01,50.21,1
2024-01-02,2024-01-08,50.7,3
2024-01-09,2024-01-15,51.16,1
2024-01-16,2024-01-22,52.56,4
2024-01-23,2024-01-29,52.94,3
2024-01-30,2024-02-05,52.82,1
2024-02-06,2024-02-12,54.01,7
2024-02-13,2024-02-19,54.51,2
2024-02-20,2024-02-26,55.07,2
2024-02-27,2024-03-04,55.82,1
2024-03-05,2024-03-11,57.54,4
2024-03-12,2024-03-18,57.72,1
2024-03-19,2024-03-25,58.08,0
2024-03-26,2024-04-01,58.77,2
2024-04-02,2024-04-08,58.53,2
2024-04-09,2024-04-15,58.52,3
2024-04-16,2024-04-22,58.64,1
2024-04-23,2024-04-29,58.83,1
2024-04-30,2024-05-06,59.34,3
2024-05-07,2024-05-13,58.76,3
2024-05-14,2024-05-20,59.02,3
2024-05-21,2024-05-27,58.57,3
2024-05-28,2024-06-03,58.57,0
2024-06-04,2024-06-10,58.16,1
2024-06-11,2024-06-17,57.5,1
2024-06-18,2024-06-24,55.62,3
2024-06-25,2024-07-01,56.18,1
2024-07-02,2024-07-08,56.04,1
2024-07-09,2024-07-15,56.04,0
2024-07-16,2024-07-22,56.04,0
2024-07-23,2024-07-29,56.04,0
2024-07-30,2024-08-05,56.13,3
2024-08-06,2024-08-12,56.13,1
2024-08-13,2024-08-19,56.13,0
2024-08-20,2024-08-26,56.13,0
2024-08-27,2024-09-02,56.08,1
2024-09-03,2024-09-09,55.43,3
2024-09-10,2024-09-16,55.08,4
2024-09-17,2024-09-23,54.67,4
2024-09-24,2024-09-30,55.07,1
2024-10-01,2024-10-07,54.9,1
2024-10-08,2024-10-14,54.84,1
2024-10-15,2024-10-21,55.21,2
2024-10-22,2024-10-28,56.13,7
2024-10-29,2024-11-04,57.22,2
2024-11-05,2024-11-11,58.79,4
2024-11-12,2024-11-18,58.96,2
2024-11-19,2024-11-25,60.06,4
2024-11-26,2024-12-02,61.4,2
